1.collectionobject.guid,"1,111-collectionobjectattachments,41.attachment.metadataText","1,99-leftsiderels,1-rightside,121-dnasequences.dnasequence.text3"
dc72a961-1ed3-11e3-bfac-90b11c41863e,,54831547-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,54831591-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,548315db-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,54831629-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,54831673-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,548316ba-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,54831705-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,54831c5d-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,54831cbd-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,54831d08-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,5489d15d-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,5489d495-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,5489d4e5-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,5489d530-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,5471f5cb-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,54743f4c-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,547ebf9d-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,54831412-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,54831462-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,548314b1-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,548314fb-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,54831547-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,54831591-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,548315db-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,54831629-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,54831673-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,548316ba-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,54831705-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,54831c5d-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,54831cbd-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,54831d08-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,5489d15d-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,5489d495-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,5489d4e5-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,5489d530-a0b5-11ed-803c-6c2b597b15e2
dc72ad41-1ed3-11e3-bfac-90b11c41863e,,5470a959-a0b5-11ed-803c-6c2b597b15e2
dc72ad41-1ed3-11e3-bfac-90b11c41863e,,5474993e-a0b5-11ed-803c-6c2b597b15e2
dc72b129-1ed3-11e3-bfac-90b11c41863e,,5485a45c-a0b5-11ed-803c-6c2b597b15e2
dc72b50c-1ed3-11e3-bfac-90b11c41863e,,546e949d-a0b5-11ed-803c-6c2b597b15e2
dc72b50c-1ed3-11e3-bfac-90b11c41863e,,54707f99-a0b5-11ed-803c-6c2b597b15e2
dc72b50c-1ed3-11e3-bfac-90b11c41863e,,5473ba34-a0b5-11ed-803c-6c2b597b15e2
dc72c079-1ed3-11e3-bfac-90b11c41863e,,546e7bdb-a0b5-11ed-803c-6c2b597b15e2
dc72c079-1ed3-11e3-bfac-90b11c41863e,,546ef0f7-a0b5-11ed-803c-6c2b597b15e2
dc72c079-1ed3-11e3-bfac-90b11c41863e,,546f0cfd-a0b5-11ed-803c-6c2b597b15e2
dc72c079-1ed3-11e3-bfac-90b11c41863e,,546fab48-a0b5-11ed-803c-6c2b597b15e2
dc72c079-1ed3-11e3-bfac-90b11c41863e,,54703615-a0b5-11ed-803c-6c2b597b15e2
dc72c079-1ed3-11e3-bfac-90b11c41863e,,54704ab6-a0b5-11ed-803c-6c2b597b15e2
dc72c079-1ed3-11e3-bfac-90b11c41863e,,547078ac-a0b5-11ed-803c-6c2b597b15e2
dc72c079-1ed3-11e3-bfac-90b11c41863e,,547190ab-a0b5-11ed-803c-6c2b597b15e2
dc72c079-1ed3-11e3-bfac-90b11c41863e,,5473f2bb-a0b5-11ed-803c-6c2b597b15e2
dc72c079-1ed3-11e3-bfac-90b11c41863e,,54740456-a0b5-11ed-803c-6c2b597b15e2
dc72c079-1ed3-11e3-bfac-90b11c41863e,,548d2447-a0b5-11ed-803c-6c2b597b15e2
dc72c41d-1ed3-11e3-bfac-90b11c41863e,,54764d64-a0b5-11ed-803c-6c2b597b15e2
dc72c41d-1ed3-11e3-bfac-90b11c41863e,,5477280c-a0b5-11ed-803c-6c2b597b15e2
dc72c41d-1ed3-11e3-bfac-90b11c41863e,,5477db47-a0b5-11ed-803c-6c2b597b15e2
dc72c41d-1ed3-11e3-bfac-90b11c41863e,,547b1c82-a0b5-11ed-803c-6c2b597b15e2
dc72c41d-1ed3-11e3-bfac-90b11c41863e,,547d9cda-a0b5-11ed-803c-6c2b597b15e2
dc72c41d-1ed3-11e3-bfac-90b11c41863e,,547f2217-a0b5-11ed-803c-6c2b597b15e2
dc72cb64-1ed3-11e3-bfac-90b11c41863e,,5472fa11-a0b5-11ed-803c-6c2b597b15e2
dc72cb64-1ed3-11e3-bfac-90b11c41863e,,547330c1-a0b5-11ed-803c-6c2b597b15e2
dc72cb64-1ed3-11e3-bfac-90b11c41863e,,547365ff-a0b5-11ed-803c-6c2b597b15e2
dc72cb64-1ed3-11e3-bfac-90b11c41863e,,54736f51-a0b5-11ed-803c-6c2b597b15e2
dc72cb64-1ed3-11e3-bfac-90b11c41863e,,5473b148-a0b5-11ed-803c-6c2b597b15e2
dc72cb64-1ed3-11e3-bfac-90b11c41863e,,5477eb37-a0b5-11ed-803c-6c2b597b15e2
dc72cb64-1ed3-11e3-bfac-90b11c41863e,,547d3947-a0b5-11ed-803c-6c2b597b15e2
dc72cb64-1ed3-11e3-bfac-90b11c41863e,,548026ca-a0b5-11ed-803c-6c2b597b15e2
dc72cb64-1ed3-11e3-bfac-90b11c41863e,,54802712-a0b5-11ed-803c-6c2b597b15e2
dc72cb64-1ed3-11e3-bfac-90b11c41863e,,5480275a-a0b5-11ed-803c-6c2b597b15e2
dc72cb64-1ed3-11e3-bfac-90b11c41863e,,548027a2-a0b5-11ed-803c-6c2b597b15e2
dc72cb64-1ed3-11e3-bfac-90b11c41863e,,548027ea-a0b5-11ed-803c-6c2b597b15e2
dc72cb64-1ed3-11e3-bfac-90b11c41863e,,54802831-a0b5-11ed-803c-6c2b597b15e2
dc72cb64-1ed3-11e3-bfac-90b11c41863e,,548bd860-a0b5-11ed-803c-6c2b597b15e2
dc72dde8-1ed3-11e3-bfac-90b11c41863e,,54709a4c-a0b5-11ed-803c-6c2b597b15e2
dc72dde8-1ed3-11e3-bfac-90b11c41863e,,54740d8f-a0b5-11ed-803c-6c2b597b15e2
dc72dde8-1ed3-11e3-bfac-90b11c41863e,,548b60ff-a0b5-11ed-803c-6c2b597b15e2
dc72dde8-1ed3-11e3-bfac-90b11c41863e,,548b6148-a0b5-11ed-803c-6c2b597b15e2
dc72dde8-1ed3-11e3-bfac-90b11c41863e,,548b6192-a0b5-11ed-803c-6c2b597b15e2
dc72dde8-1ed3-11e3-bfac-90b11c41863e,,548b61db-a0b5-11ed-803c-6c2b597b15e2
dc72dde8-1ed3-11e3-bfac-90b11c41863e,,548b6225-a0b5-11ed-803c-6c2b597b15e2
dc72dde8-1ed3-11e3-bfac-90b11c41863e,,548b626f-a0b5-11ed-803c-6c2b597b15e2
dc72dde8-1ed3-11e3-bfac-90b11c41863e,,548b62b9-a0b5-11ed-803c-6c2b597b15e2
dc72e8fa-1ed3-11e3-bfac-90b11c41863e,,547dcc49-a0b5-11ed-803c-6c2b597b15e2
dc72e8fa-1ed3-11e3-bfac-90b11c41863e,,548b68c0-a0b5-11ed-803c-6c2b597b15e2
dc72e8fa-1ed3-11e3-bfac-90b11c41863e,,548b690b-a0b5-11ed-803c-6c2b597b15e2
dc72e8fa-1ed3-11e3-bfac-90b11c41863e,,548b695a-a0b5-11ed-803c-6c2b597b15e2
dc72e8fa-1ed3-11e3-bfac-90b11c41863e,,548b69ab-a0b5-11ed-803c-6c2b597b15e2
dc72e8fa-1ed3-11e3-bfac-90b11c41863e,,548b6a2c-a0b5-11ed-803c-6c2b597b15e2
dc72e8fa-1ed3-11e3-bfac-90b11c41863e,,548b6aa8-a0b5-11ed-803c-6c2b597b15e2
dc72e8fa-1ed3-11e3-bfac-90b11c41863e,,548b6b44-a0b5-11ed-803c-6c2b597b15e2
dc72e8fa-1ed3-11e3-bfac-90b11c41863e,,548b6bc4-a0b5-11ed-803c-6c2b597b15e2
dc72ecab-1ed3-11e3-bfac-90b11c41863e,,5485a4d6-a0b5-11ed-803c-6c2b597b15e2
dc72f410-1ed3-11e3-bfac-90b11c41863e,,546fa5e2-a0b5-11ed-803c-6c2b597b15e2
dc72f410-1ed3-11e3-bfac-90b11c41863e,,54726a15-a0b5-11ed-803c-6c2b597b15e2
dc72f410-1ed3-11e3-bfac-90b11c41863e,,54736315-a0b5-11ed-803c-6c2b597b15e2
dc72ff2b-1ed3-11e3-bfac-90b11c41863e,,5470be26-a0b5-11ed-803c-6c2b597b15e2
dc72ff2b-1ed3-11e3-bfac-90b11c41863e,,5473d8ba-a0b5-11ed-803c-6c2b597b15e2
dc72ff2b-1ed3-11e3-bfac-90b11c41863e,,548a6efb-a0b5-11ed-803c-6c2b597b15e2
dc72ff2b-1ed3-11e3-bfac-90b11c41863e,,548a6f71-a0b5-11ed-803c-6c2b597b15e2
dc72ff2b-1ed3-11e3-bfac-90b11c41863e,,548a6fdf-a0b5-11ed-803c-6c2b597b15e2
dc72ff2b-1ed3-11e3-bfac-90b11c41863e,,548a71f6-a0b5-11ed-803c-6c2b597b15e2
dc72ff2b-1ed3-11e3-bfac-90b11c41863e,,548a729f-a0b5-11ed-803c-6c2b597b15e2
dc72ff2b-1ed3-11e3-bfac-90b11c41863e,,548a750b-a0b5-11ed-803c-6c2b597b15e2
