subject_entity_id,entity_relationship_type,,object_entity_IRI
db88994d-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000482702
fbae3781-38a0-45b7-abb5-7f6437301b62,has 3D model,,https://www.morphosource.org/biological_specimens/000482703
3a4e2703-69ca-4428-b7d3-857129c89d9a,has 3D model,,https://www.morphosource.org/biological_specimens/000482704
e0e70735-f832-4e39-b408-68e5f3e41e23,has 3D model,,https://www.morphosource.org/biological_specimens/000482705
c0bf144d-49eb-45e3-88b6-317e8a11d964,has 3D model,,https://www.morphosource.org/biological_specimens/000482706
a9b9b423-9993-431d-a7c2-b47662ed45c7,has 3D model,,https://www.morphosource.org/biological_specimens/000482707
b09016b9-559f-4646-aab3-47d25d03bdbb,has 3D model,,https://www.morphosource.org/biological_specimens/000482708
080ea5a7-7cb0-4fc5-8784-5120c188679a,has 3D model,,https://www.morphosource.org/biological_specimens/000482709
1fa1afbb-9c45-4deb-a003-c7c1cef67e28,has 3D model,,https://www.morphosource.org/biological_specimens/000482710
2da623a5-fa23-4b8a-af02-ab741dc0e322,has 3D model,,https://www.morphosource.org/biological_specimens/000482711
24b8bf89-395a-4169-b265-f115cbe1b192,has 3D model,,https://www.morphosource.org/biological_specimens/000482712
baa8203e-8bcb-4b07-8d89-d23815a1d261,has 3D model,,https://www.morphosource.org/biological_specimens/000482713
2de888e2-32fd-4475-ad90-34ef46492135,has 3D model,,https://www.morphosource.org/biological_specimens/000482714
db510f03-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000483362
dcbcf642-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000483363
dcc3fef1-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000483364
db4f12af-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000483365
2bd7a82e-57fb-4636-9518-343e74ebd0e1,has 3D model,,https://www.morphosource.org/biological_specimens/000483366
c88192b1-6a48-4013-9ee9-75ade66a3237,has 3D model,,https://www.morphosource.org/biological_specimens/000483367
6bb93f87-bd73-477a-ae15-a22c418eac04,has 3D model,,https://www.morphosource.org/biological_specimens/000483368
59a9ee8a-2863-4f67-8d75-966985bb4e0e,has 3D model,,https://www.morphosource.org/biological_specimens/000483369
5ce7c71c-3743-482f-b0ac-8fcb488d7afd,has 3D model,,https://www.morphosource.org/biological_specimens/000483370
7a794921-b62f-41a4-9c53-ad601ce1f28c,has 3D model,,https://www.morphosource.org/biological_specimens/000483661
62afcd6d-9505-4fc1-a4f3-13d6406d4a8e,has 3D model,,https://www.morphosource.org/biological_specimens/000486088
a65e28fa-6e4b-4a40-92c7-0b59b7dab023,has 3D model,,https://www.morphosource.org/biological_specimens/000486089
fb6ba740-64d1-453f-a33d-fe4e66f12a48,has 3D model,,https://www.morphosource.org/biological_specimens/000489823
dba45a3e-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000S27385
dbb867c4-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/0000S7336
dbccf240-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000458691
dbf3f1b4-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000482684
dbf75570-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000448192
dc0834c4-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000482685
dc0a3755-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000483359
dc20309c-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000482686
dc213537-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000S27381
dc237c6f-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000482687
dc23ffb8-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000483360
dc4415a5-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000483361
dc4c302f-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/0000S6043
dc4c44e0-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000482688
dc4c53a6-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000482689
dc5069cf-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/0000S7340
dc51fd9b-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000448193
dc521a21-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000458862
dc522b6a-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000486085
dc523c64-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000448194
dc52646c-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000448195
dc52657e-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000448196
dc5617e9-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000482690
dc563468-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000482691
dc566f50-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000458685
dc5689ca-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000458755
dc571c3b-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000482692
dc574900-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000458806
dc63e33b-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000482693
dc645a65-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000458756
dc6b142a-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000458807
dc70e457-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000458808
dc71006f-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000458757
dc7277ba-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000486086
dc72a961-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000436818
dc730eb3-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000S25192
dc738c79-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000S25230
dc73a3ac-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000436822
dc73ced1-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000448197
dc74cf2c-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000489822
dc794508-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000448286
dc7b06f5-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000424412
dc7b312c-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000436840
dc846872-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000486087
dc8e1094-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000S25183
dc91ad9d-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000482694
dc91e4c6-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000482695
dc92c4ef-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000424397
dc92cc4a-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000S25194
dc92dd28-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000482696
dc930853-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000436819
dc936ee2-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000436823
