Collection Object GUID,Metadata Text,DNA Sequences Text3,,,
dc72dde8-1ed3-11e3-bfac-90b11c41863e,,54740d8f-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/AF285958 
dc72dde8-1ed3-11e3-bfac-90b11c41863e,,548b60ff-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/MW630266
dc72dde8-1ed3-11e3-bfac-90b11c41863e,,548b6148-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/MW631064
dc72dde8-1ed3-11e3-bfac-90b11c41863e,,548b6192-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/MW631465
dc72dde8-1ed3-11e3-bfac-90b11c41863e,,548b61db-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/MW631258
dc72dde8-1ed3-11e3-bfac-90b11c41863e,,548b6225-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/MW631654
dc72dde8-1ed3-11e3-bfac-90b11c41863e,,548b626f-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/MW630651
dc72dde8-1ed3-11e3-bfac-90b11c41863e,,548b62b9-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/MW630856
dc72e8fa-1ed3-11e3-bfac-90b11c41863e,,547dcc49-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/KC830230
dc72e8fa-1ed3-11e3-bfac-90b11c41863e,,548b68c0-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/MW630273
dc72e8fa-1ed3-11e3-bfac-90b11c41863e,,548b690b-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/MW630657
dc72e8fa-1ed3-11e3-bfac-90b11c41863e,,548b695a-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/MW631266
dc72e8fa-1ed3-11e3-bfac-90b11c41863e,,548b69ab-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/MW631070
dc72e8fa-1ed3-11e3-bfac-90b11c41863e,,548b6a2c-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/MW630457
dc72e8fa-1ed3-11e3-bfac-90b11c41863e,,548b6aa8-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/MW631472
dc72e8fa-1ed3-11e3-bfac-90b11c41863e,,548b6b44-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/MW631661
dc72e8fa-1ed3-11e3-bfac-90b11c41863e,,548b6bc4-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/MW630864
dc72ecab-1ed3-11e3-bfac-90b11c41863e,,5485a4d6-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/KF929919
dc72f410-1ed3-11e3-bfac-90b11c41863e,,546fa5e2-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/AY700314 
dc72f410-1ed3-11e3-bfac-90b11c41863e,,54726a15-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/AY679628 
dc72f410-1ed3-11e3-bfac-90b11c41863e,,54736315-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/AY700244 
dc72ff2b-1ed3-11e3-bfac-90b11c41863e,,5470be26-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/AF285941 
dc72ff2b-1ed3-11e3-bfac-90b11c41863e,,5473d8ba-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/AF285919 
dc72ff2b-1ed3-11e3-bfac-90b11c41863e,,548a6efb-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/MW630152
dc72ff2b-1ed3-11e3-bfac-90b11c41863e,,548a6f71-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/MW630948
dc72ff2b-1ed3-11e3-bfac-90b11c41863e,,548a6fdf-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/MW631353
dc72ff2b-1ed3-11e3-bfac-90b11c41863e,,548a71f6-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/MW630537
dc72ff2b-1ed3-11e3-bfac-90b11c41863e,,548a729f-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/MW631145
dc72ff2b-1ed3-11e3-bfac-90b11c41863e,,548a750b-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/MW630735
dc84de63-1ed3-11e3-bfac-90b11c41863e,,5485a550-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/KF930133
dc84dd5f-1ed3-11e3-bfac-90b11c41863e,,546fe69f-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/AF153307 
dc84dd5f-1ed3-11e3-bfac-90b11c41863e,,54702389-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/AF150004 
dc84dd5f-1ed3-11e3-bfac-90b11c41863e,,547309da-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/AF150659 
dc84dd5f-1ed3-11e3-bfac-90b11c41863e,,5474bb46-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/AF152137 
dc84dd5f-1ed3-11e3-bfac-90b11c41863e,,5474c77a-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/AF152164 
dc84dc58-1ed3-11e3-bfac-90b11c41863e,,54744792-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/AY828965 
dc72238d-1ed3-11e3-bfac-90b11c41863e,,546fcdf2-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/AF152138 
dc72238d-1ed3-11e3-bfac-90b11c41863e,,5470e203-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/AF152165 
dc72238d-1ed3-11e3-bfac-90b11c41863e,,5472588c-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/AF153308 
dc72238d-1ed3-11e3-bfac-90b11c41863e,,5473e85f-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/AF150660 
dc72238d-1ed3-11e3-bfac-90b11c41863e,,547499d7-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/AF150005 
db58294f-1ed3-11e3-bfac-90b11c41863e,,5485a5ca-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/KF930139
dc730eb3-1ed3-11e3-bfac-90b11c41863e,,546fe367-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/AF055605 
dc730eb3-1ed3-11e3-bfac-90b11c41863e,,547052b9-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/EF530097 
dc730eb3-1ed3-11e3-bfac-90b11c41863e,,54712802-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/EF536259 
dc730eb3-1ed3-11e3-bfac-90b11c41863e,,547443ba-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/EF536297 
dc730eb3-1ed3-11e3-bfac-90b11c41863e,,54749b50-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/EF539244 
dc730eb3-1ed3-11e3-bfac-90b11c41863e,,5474a669-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/AF055626 
dc730eb3-1ed3-11e3-bfac-90b11c41863e,,5474bcc1-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/EF533920 
dc730eb3-1ed3-11e3-bfac-90b11c41863e,,5479e6d0-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/KC827791
dc730eb3-1ed3-11e3-bfac-90b11c41863e,,547b3fa0-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/KC828458
dc730eb3-1ed3-11e3-bfac-90b11c41863e,,547ccad1-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/KC829670
dc730eb3-1ed3-11e3-bfac-90b11c41863e,,547e241a-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/KC830425
dc730eb3-1ed3-11e3-bfac-90b11c41863e,,547f6f62-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/KC831131
dc73126c-1ed3-11e3-bfac-90b11c41863e,,5485a644-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/KF929889
