Attachment GUID,Metadata Text,Collection Object GUID
b0bc7e27-d1b9-46aa-a8c4-26db3818ac56,,dba9d652-1ed3-11e3-bfac-90b11c41863e
25f38d02-87b7-40e4-a7a0-649da3416cde,,dba9ddc2-1ed3-11e3-bfac-90b11c41863e
25f38d02-87b7-40e4-a7a0-649da3416cde,,dba9e036-1ed3-11e3-bfac-90b11c41863e
25f38d02-87b7-40e4-a7a0-649da3416cde,,dba9e2a4-1ed3-11e3-bfac-90b11c41863e
25f38d02-87b7-40e4-a7a0-649da3416cde,,dba9e516-1ed3-11e3-bfac-90b11c41863e
25f38d02-87b7-40e4-a7a0-649da3416cde,,dba9e78e-1ed3-11e3-bfac-90b11c41863e
25f38d02-87b7-40e4-a7a0-649da3416cde,,dba9e9fc-1ed3-11e3-bfac-90b11c41863e
25f38d02-87b7-40e4-a7a0-649da3416cde,,dba9ec6b-1ed3-11e3-bfac-90b11c41863e
25f38d02-87b7-40e4-a7a0-649da3416cde,,dba9eee5-1ed3-11e3-bfac-90b11c41863e
b1e70e87-d24f-4607-aaf0-307b5d85b1fd,,dbaa0036-1ed3-11e3-bfac-90b11c41863e
b1e70e87-d24f-4607-aaf0-307b5d85b1fd,,dbaa02b6-1ed3-11e3-bfac-90b11c41863e
b1e70e87-d24f-4607-aaf0-307b5d85b1fd,,dbaa052f-1ed3-11e3-bfac-90b11c41863e
b1e70e87-d24f-4607-aaf0-307b5d85b1fd,,dbaa07a9-1ed3-11e3-bfac-90b11c41863e
b1e70e87-d24f-4607-aaf0-307b5d85b1fd,,dbaa0a2a-1ed3-11e3-bfac-90b11c41863e
d0559e0a-a9a3-4f73-92bd-4ddd479145ba,,dba9d8cd-1ed3-11e3-bfac-90b11c41863e
d0559e0a-a9a3-4f73-92bd-4ddd479145ba,,dba9db4f-1ed3-11e3-bfac-90b11c41863e
512b14cf-71f1-435a-bdbd-a94ba0be59d7,,dba9d3dd-1ed3-11e3-bfac-90b11c41863e
512b14cf-71f1-435a-bdbd-a94ba0be59d7,,dba9d652-1ed3-11e3-bfac-90b11c41863e
0d9ff454-046b-4c6e-82c4-378eaf503b1a,,dba9ddc2-1ed3-11e3-bfac-90b11c41863e
0d9ff454-046b-4c6e-82c4-378eaf503b1a,,dba9e036-1ed3-11e3-bfac-90b11c41863e
0d9ff454-046b-4c6e-82c4-378eaf503b1a,,dba9e2a4-1ed3-11e3-bfac-90b11c41863e
0d9ff454-046b-4c6e-82c4-378eaf503b1a,,dba9e516-1ed3-11e3-bfac-90b11c41863e
