taxon_ID,occurrenceID,scientific_name,scientific_name_authorship,original_name_usage,taxon_rank,taxon_source,scientific_name_id,taxon_remarks,parent_taxon_id,taxonomic_status,kingdom,phylum,class,order,family,subfamily,genus,subgenus,specificEpithet,accepted_scientific_name,vernacular_name
https://www.gbif.org/species/5995088,BR:Refauna:MNHN:Coleoptera:00126,"Saprinus guyanensis Marseul, 1855","Marseul, 1855","Saprinus guyanensis Marseul, 1855",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Saprinus,Saprinus,guyanensis,,
https://www.gbif.org/species/5993864,BR:Refauna:MNHN:Coleoptera:00127,"Xerosaprinus (Xerosaprinus) ignotus (Marseul, 1855)","Marseul, 1855","Saprinus ignotus Marseul, 1855",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Xerosaprinus,Xerosaprinus,ignotus,,
https://www.gbif.org/species/5993787,BR:Refauna:MNHN:Coleoptera:00128,"Euspilotus (Hesperosaprinus) milium (Marseul, 1855)","Marseul, 1855","Saprinus milium Marseul, 1855",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Euspilotus,Hesperosaprinus,milium,,
https://www.gbif.org/species/5993774,BR:Refauna:MNHN:Coleoptera:00129,"Euspilotus (Neosaprinus) pipitzi (Marseul, 1887)","Marseul, 1887","Saprinus pipitzi Marseul, 1887",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Euspilotus,Neosaprinus,pipitzi,,
https://www.gbif.org/species/5993737,BR:Refauna:MNHN:Coleoptera:00130,"Euspilotus (Neosaprinus) rubriculus (Marseul, 1855)","Marseul, 1855","Saprinus rubriculus Marseul, 1855",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Euspilotus,Neosaprinus,rubriculus,,
https://www.gbif.org/species/5995121,BR:Refauna:MNHN:Coleoptera:00131,"Saprinus semirosus Marseul, 1870","Marseul, 1870","Saprinus semirosus Marseul, 1870",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Saprinus,Saprinus,semirosus,,
https://www.gbif.org/species/5993062,BR:Refauna:MNHN:Coleoptera:00132,"Scapicoelis tibialis Marseul, 1862","Marseul, 1862","Scapicoelis tibialis Marseul, 1862",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Scapicoelis,,tibialis,,
https://www.gbif.org/species/5996408,BR:Refauna:MNHN:Coleoptera:00133,"Sphyracus anjubaulti (Marseul, 1864)","Marseul, 1864","Phelister anjubaulti Marseul, 1864",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Sphyracus,,anjubaulti,,
https://www.gbif.org/species/5996405,BR:Refauna:MNHN:Coleoptera:00134,"Sphyracus gryphus Marseul, 1861","Marseul, 1861","Sphyracus gryphus Marseul, 1861",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Sphyracus,,gryphus,,
https://www.gbif.org/species/5996047,BR:Refauna:MNHN:Coleoptera:00135,"Trypanaeus carinirostris Marseul, 1856","Marseul, 1856","Trypanaeus carinirostris Marseul, 1856",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Trypanaeus,,carinirostris,,
https://www.gbif.org/species/5996034,BR:Refauna:MNHN:Coleoptera:00136,"Trypanaeus quadricollis Marseul, 1856","Marseul, 1856","Trypanaeus quadricollis Marseul, 1856",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Trypanaeus,,quadricollis,,
https://www.gbif.org/species/5996055,BR:Refauna:MNHN:Coleoptera:00137,"Trypanaeus bisulcifrons Marseul, 1870","Marseul, 1870","Trypanaeus bisulcifrons Marseul, 1870",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Trypanaeus,,bisulcifrons,,
https://www.gbif.org/species/5995914,BR:Refauna:MNHN:Coleoptera:00138,"Coptotrophis deyrolii (Marseul, 1856)","Marseul, 1856","Trypanaeus deyrolii Marseul, 1856",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Coptotrophis,,deyrolii,,
https://www.gbif.org/species/5996079,BR:Refauna:MNHN:Coleoptera:00139,"Trypanaeus ensifer Marseul, 1856","Marseul, 1856","Trypanaeus ensifer Marseul, 1856",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Trypanaeus,,ensifer,,
https://www.gbif.org/species/5996040,BR:Refauna:MNHN:Coleoptera:00140,"Trypanaeus nasicornis Marseul, 1870","Marseul, 1870","Trypanaeus nasicornis Marseul, 1870",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Trypanaeus,,nasicornis,,
https://www.gbif.org/species/5995911,BR:Refauna:MNHN:Coleoptera:00141,"Coptotrophis resectus (Marseul, 1870)","Marseul, 1870","Trypanaeus resectus Marseul, 1870",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Coptotrophis,,resectus,,
https://www.gbif.org/species/5996072,BR:Refauna:MNHN:Coleoptera:00142,"Trypanaeus sulcipygus Marseul, 1870","Marseul, 1870","Trypanaeus sulcipygus Marseul, 1870",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Trypanaeus,,sulcipygus,,
