occurrence_id,material_entity_id,material_entity_type,preparations,disposition,institution_code,institution_id,collection_code,collection_id,owner_institution_code,catalog_number,record_number,recorded_by,recorded_by_id,associated_references,associated_sequences,other_catalog_numbers
BR:Refauna:MNHN:Coleoptera:00109,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00110,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00111,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00112,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00113,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00114,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:BMNH:Coleoptera:00115,,Organism,whole animal,in collection,BMNH,,BMNH(E),urn:uuid:3efe33df-78cd-4def-9ee8-a0541587a6be,BMNH,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00116,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00117,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:BMNH:Coleoptera:00118,,Organism,whole animal,in collection,BMNH,,BMNH(E),urn:uuid:3efe33df-78cd-4def-9ee8-a0541587a6be,BMNH,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00119,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00120,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
