"material_entity_id","material_entity_type","preparations","dispositions","institution_code","institution_id","collection_code","collection_id","owner_institution_code","catalog_number","recorder_by","recorder_by_id","associated_references","associated_secuences","other_catalog_numbers"
"c4a8e5091e236e033d976b23f96a35aa","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","8606-YUC-110","Efraím Hernández-Xolocotzi Guzmán","","","",""
"c4aac2c764b8555a043b935807066e61","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","45-AGS-45","Miguel Pedrizco Ramírez","","","",""
"c4ae0526569beaabf731db9f7a1e56df","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","4465-MICH-335","Efraím Hernández-Xolocotzi Guzmán","","","",""
"c4b265f81f9564de34e8a1cc45e9b277","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","9078-VER-700","Porfirio Ramírez Vallejo; Jesús Alcázar A.; Mauro Sierra Macías; Darío Aburto; Ricardo Arroyo; Pascual de los Santos; Mauro Balderas Muñoz; Francisco Ortíz; Cirilo Ortíz Ortíz","","","",""
"c4b4516a4b57e80038d6f885c13bb6f9","PreservedSpecimen","Germoplasma en conservación","","ECOSUR","","CH","","","2002-0309-2","Hugo Perales Rivera","","","",""
"c4b67097e2461776fe9518ba8e8f8fe1","PreservedSpecimen","Germoplasma en conservación","","ECOSUR","","CH","","","2002-1063-","Hugo Perales Rivera","","","",""
"c4b8980e8139d5b788b49df124a6439c","PreservedSpecimen","Germoplasma en conservación","","ECOSUR","","CH","","","2002-1173","Hugo Perales Rivera","","","",""
"c4baa24ffd157019d88e73ce528ba07d","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","11057-OAX-886","Suketoshi Taba; Flavio Aragón Cuevas; Marcial Rivas Rodríguez","","","",""
"c4c29387103d6ea2b94e60f25c964ff9","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","10411-CHIH-402","Enrique Díaz Solís; Venancio Solano Romero","","","",""
"c4c8e0cd35d48a2e0e921e3fdd879d5a","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","5966-PUE-195","Modesto Cruz Cruz","","","",""
"c4c91264f21553430a2e0034523c3c3f","PreservedSpecimen","Germoplasma en conservación","","ECOSUR","","CH","","","2000-8010-2","Hugo Perales Rivera","","","",""
"c4c946e420936867131d9d8fec121f5a","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","1162-CHIH-227","Efraím Hernández-Xolocotzi Guzmán","","","",""
"c4ce19022c9800c2033e7803917e303b","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","9027-PUE-282","Facundo Barrientos Pérez","","","",""
"c4cf3a95d06ed463693d1bafd7699728","PreservedSpecimen","Germoplasma en conservación","","ECOSUR","","CH","","","2002-1033-1","Hugo Perales Rivera","","","",""
"c4d10a72a372d8f28d9529bd8453ede8","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","10160-JSG-RMM-445","José de Jesús Sánchez González; R Miranda","","","",""
"c4d31bc50de709bc5964c55080569e68","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","316-CHIS-85","Efraím Hernández-Xolocotzi Guzmán","","","",""
"c4d3cf65f9e232abed5ac5aeba5dfe86","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","5153-NL-73","Ciro Valdez Montoya","","","",""
"c4d402231f88d78e7f98d6e57dd455d9","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","6877-SLP-27A","Isabel Kelly","","","",""
"c4dd8fd84a036a7ff5c638bb37b4b730","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","4816-NAY-71","J Refugio Villa Moreno","","","",""
"c4e6dc0b59d116571db741de6957440f","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","7420-TAB-6","","","","",""
"c4e7004732666efd601b3ece038107ce","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","928-CHIS-693","Rafael Ortega Paczka","","","",""
"c4ea43b6e42b864d5bf51551f37ec209","PreservedSpecimen","Germoplasma en conservación","","ECOSUR","","CH","","","2002-1274-1","Hugo Perales Rivera","","","",""
"c4ea445c5ed29edfe6e61499ff8f22bc","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","3874-MEX-473","Alberto Ramos Rodríguez","","","",""
"c4f1324b0492dd49c62af335d4905a0c","PreservedSpecimen","Germoplasma en conservación","","ECOSUR","","CH","","","2002-1420","Hugo Perales Rivera","","","",""
"c4f1d30c453d60abe355709b51111b3d","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","3148-JAL-433","","","","",""
"c4f822a6defa1c8848e566913e28faac","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","8077-VER-168","José Jiménez Ramírez","","","",""
"c4ff9b0d38f9a44e992beeba1bb6aa4b","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","3178-JAL-463","","","","",""
"c5003002d3107b62a8c5e58b1403ead4","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","1032-CHIH-97","Efraím Hernández-Xolocotzi Guzmán","","","",""
"c5058530acc05907b8054da42db1df7f","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","5244-OAX-44","Efraím Hernández-Xolocotzi Guzmán","","","",""
"c51041b359174a960231beffdc8965e8","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","6957-SLP-105","Rogelio del Toro Stodelly","","","",""
"c519051b711d7320e9c5f3496e8b5bf7","PreservedSpecimen","Germoplasma en conservación","","ECOSUR","","CH","","","2002-0163-1","Hugo Perales Rivera","","","",""
"c51b37ed2da2e59a663dc94c8a84a603","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","6031-PUE-259A","Facundo Barrientos Pérez","","","",""
"c51cd0b4c10b81ff873ebbd2813564e4","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","6624-QRO-19","J Refugio Villa Moreno","","","",""
"c522340c6e092ee063f9c2d9a93cb73a","PreservedSpecimen","Germoplasma en conservación","","ECOSUR","","CH","","","2002-0072-2","Hugo Perales Rivera","","","",""
"c5228fdc5052f27cdf5bc034e7306e8d","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","10972-OAX-801","Flavio Aragón Cuevas; Jaime Díaz; Suketoshi Taba","","","",""
"c5286a2093a2f48cad1c998e53f05c33","PreservedSpecimen","Germoplasma en conservación","","ECOSUR","","CH","","","2002-0163-3","Hugo Perales Rivera","","","",""
"c528aa7a362e2981acd26100977e3b6a","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","6529-PUE-782","José Manuel Fernández Brondo; Alberto Ramos Rodríguez","","","",""
