"1,99-leftsiderels,1-rightside,121-dnasequences.dnasequence.text3","1,99-leftsiderels,1-rightside,121-dnasequences.dnasequence.text2","1,99-leftsiderels,1-rightside,121-dnasequences.dnasequence.moleculeType","1,99-leftsiderels,1-rightside,121-dnasequences,5-sequencer.dnasequence.sequencer"
547680c1-a0b5-11ed-803c-6c2b597b15e2,KC825797,ficd,"Orti, Guillermo"
5478014b-a0b5-11ed-803c-6c2b597b15e2,KC826514,kiaa1239,"Orti, Guillermo"
5478f059-a0b5-11ed-803c-6c2b597b15e2,KC827123,myh6,"Broughton, Richard E"
5479c54d-a0b5-11ed-803c-6c2b597b15e2,KC827736,Panx2,"Broughton, Richard E"
547b3384-a0b5-11ed-803c-6c2b597b15e2,KC828539,PTCHD1,"Lopez, Andres"
547cae4a-a0b5-11ed-803c-6c2b597b15e2,KC829401,sidkey,"Carpenter, Kent E"
547d4545-a0b5-11ed-803c-6c2b597b15e2,KC829885,SH3PX3,"Carpenter, Kent E"
547f5dee-a0b5-11ed-803c-6c2b597b15e2,KC831080,zic1,"Broughton, Richard E"
54726052-a0b5-11ed-803c-6c2b597b15e2,FJ519567 ,CO1,"Wong, Eugene H-K"
547056a7-a0b5-11ed-803c-6c2b597b15e2,FJ519568 ,CO1,"Wong, Eugene H-K"
546f6f59-a0b5-11ed-803c-6c2b597b15e2,AF488503 ,12S,"Berendzen, Peter B"
5471fe56-a0b5-11ed-803c-6c2b597b15e2,AF488453 ,16S,"Berendzen, Peter B"
546fd1df-a0b5-11ed-803c-6c2b597b15e2,AY700273 ,12S,"Holcroft Benson, Nancy I"
54713171-a0b5-11ed-803c-6c2b597b15e2,AY700343 ,Rag1,"Holcroft Benson, Nancy I"
547184a6-a0b5-11ed-803c-6c2b597b15e2,AY679657 ,16S,"Holcroft Benson, Nancy I"
547fce88-a0b5-11ed-803c-6c2b597b15e2,JQ861104,zic1,"Alfaro, Michael E"
548911b1-a0b5-11ed-803c-6c2b597b15e2,JQ861154,cyt b,"Santini, Francesco"
548911fa-a0b5-11ed-803c-6c2b597b15e2,JQ861204,MLL,"Santini, Francesco"
54891245-a0b5-11ed-803c-6c2b597b15e2,JQ861079,myh6,"Santini, Francesco"
5489128f-a0b5-11ed-803c-6c2b597b15e2,JQ861035,RH,"Santini, Francesco"
548912d8-a0b5-11ed-803c-6c2b597b15e2,JQ861128,IRBP,"Santini, Francesco"
54891323-a0b5-11ed-803c-6c2b597b15e2,JQ861011,CO1,"Santini, Francesco"
5489136c-a0b5-11ed-803c-6c2b597b15e2,JQ861178,EGR1,"Santini, Francesco"
548034ea-a0b5-11ed-803c-6c2b597b15e2,KF139820,Glyt,"Near, Thomas J"
54803536-a0b5-11ed-803c-6c2b597b15e2,KF141297,Rag1,"Near, Thomas J"
54803583-a0b5-11ed-803c-6c2b597b15e2,KF140797,plagl2,"Near, Thomas J"
548035cd-a0b5-11ed-803c-6c2b597b15e2,KF140590,zic1,"Near, Thomas J"
54803618-a0b5-11ed-803c-6c2b597b15e2,KF139558,ENC1,"Near, Thomas J"
54803668-a0b5-11ed-803c-6c2b597b15e2,KF140402,tbr1,"Near, Thomas J"
548036bc-a0b5-11ed-803c-6c2b597b15e2,KF140063,myh6,"Near, Thomas J"
54803708-a0b5-11ed-803c-6c2b597b15e2,KF141547,SH3PX3,"Near, Thomas J"
54803755-a0b5-11ed-803c-6c2b597b15e2,KF141064,ptr,"Near, Thomas J"
5485e226-a0b5-11ed-803c-6c2b597b15e2,KF929886,CO1,Barcode of Life Initiative
546f956d-a0b5-11ed-803c-6c2b597b15e2,EF617181 ,TMO-4C4,"Fessler, Jennifer L"
546fd934-a0b5-11ed-803c-6c2b597b15e2,EF617016 ,ND3,"Fessler, Jennifer L"
54702f76-a0b5-11ed-803c-6c2b597b15e2,EF616933 ,16S,"Fessler, Jennifer L"
54710b82-a0b5-11ed-803c-6c2b597b15e2,EF617098 ,Rag2,"Fessler, Jennifer L"
547182b0-a0b5-11ed-803c-6c2b597b15e2,EF616850 ,12S,"Fessler, Jennifer L"
5485e26d-a0b5-11ed-803c-6c2b597b15e2,KF929717,CO1,Barcode of Life Initiative
5485e2b2-a0b5-11ed-803c-6c2b597b15e2,KF929942,CO1,Barcode of Life Initiative
5485e2f8-a0b5-11ed-803c-6c2b597b15e2,KF930219,CO1,Barcode of Life Initiative
5488452e-a0b5-11ed-803c-6c2b597b15e2,KM116457,CO1,"DiBattista, Joseph"
548845a8-a0b5-11ed-803c-6c2b597b15e2,KM116456,CO1,"DiBattista, Joseph"
548a1006-a0b5-11ed-803c-6c2b597b15e2,LC021071,12S,"Miya, Masaki"
5485e33c-a0b5-11ed-803c-6c2b597b15e2,KF929604,CO1,Barcode of Life Initiative
546f8af5-a0b5-11ed-803c-6c2b597b15e2,AY539108 ,28S,"Smith, William Leo"
546ff45a-a0b5-11ed-803c-6c2b597b15e2,AY539416 ,TMO-4C4,"Smith, William Leo"
547090fb-a0b5-11ed-803c-6c2b597b15e2,AY538898 ,tRNA-Val,"Smith, William Leo"
5470d8f0-a0b5-11ed-803c-6c2b597b15e2,AY539515 ,16S,"Smith, William Leo"
5472b54b-a0b5-11ed-803c-6c2b597b15e2,AY539212 ,H3,"Smith, William Leo"
547415cf-a0b5-11ed-803c-6c2b597b15e2,AY539003 ,16S,"Smith, William Leo"
546e6ee8-a0b5-11ed-803c-6c2b597b15e2,AY679667 ,16S,"Holcroft Benson, Nancy I"
54705613-a0b5-11ed-803c-6c2b597b15e2,EF539264 ,ENC1,"Holcroft Benson, Nancy I"
54707ec1-a0b5-11ed-803c-6c2b597b15e2,AY308795 ,Rag1,"Holcroft Benson, Nancy I"
54724a5e-a0b5-11ed-803c-6c2b597b15e2,AY700283 ,12S,"Holcroft Benson, Nancy I"
5472eccf-a0b5-11ed-803c-6c2b597b15e2,EF533940 ,zic1,"Holcroft Benson, Nancy I"
54745b13-a0b5-11ed-803c-6c2b597b15e2,EF536317 ,myh6,"Holcroft Benson, Nancy I"
5476ccf6-a0b5-11ed-803c-6c2b597b15e2,KC825668,ficd,"Orti, Guillermo"
54784f19-a0b5-11ed-803c-6c2b597b15e2,KC826670,kiaa1239,"Orti, Guillermo"
547b7333-a0b5-11ed-803c-6c2b597b15e2,KC828540,PTCHD1,"Lopez, Andres"
547c3cbe-a0b5-11ed-803c-6c2b597b15e2,KC828831,ripk4,"Carpenter, Kent E"
547ce8b4-a0b5-11ed-803c-6c2b597b15e2,KC829624,sidkey,"Carpenter, Kent E"
547d6291-a0b5-11ed-803c-6c2b597b15e2,KC829961,SH3PX3,"Carpenter, Kent E"
547e4e8c-a0b5-11ed-803c-6c2b597b15e2,KC830483,tbr1,"Lopez, Andres"
547f9a15-a0b5-11ed-803c-6c2b597b15e2,KC831102,zic1,"Broughton, Richard E"
54795db0-a0b5-11ed-803c-6c2b597b15e2,KC827494,Panx2,"Broughton, Richard E"
547d04d1-a0b5-11ed-803c-6c2b597b15e2,KC829756,SH3PX3,"Carpenter, Kent E"
548831fe-a0b5-11ed-803c-6c2b597b15e2,KX150916,ND4,"Moller, Peter R"
54883248-a0b5-11ed-803c-6c2b597b15e2,KX150896,Rag1,"Moller, Peter R"
54883291-a0b5-11ed-803c-6c2b597b15e2,KX120081,16S,"Moller, Peter R"
548d1244-a0b5-11ed-803c-6c2b597b15e2,SRX13090034,UCE,"Harrington, Richard C"
5485e384-a0b5-11ed-803c-6c2b597b15e2,KF930038,CO1,Barcode of Life Initiative
54741130-a0b5-11ed-803c-6c2b597b15e2,AY308787 ,Rag1,"Holcroft Benson, Nancy I"
5476e0dc-a0b5-11ed-803c-6c2b597b15e2,KC825525,ficd,"Orti, Guillermo"
54777ed2-a0b5-11ed-803c-6c2b597b15e2,KC826257,Hoxc6a,"Broughton, Richard E"
547a2da7-a0b5-11ed-803c-6c2b597b15e2,KC827980,Panx2,"Broughton, Richard E"
547fca1e-a0b5-11ed-803c-6c2b597b15e2,KC830795,zic1,"Broughton, Richard E"
54845603-a0b5-11ed-803c-6c2b597b15e2,KF930528,CO1,Barcode of Life Initiative
