digital_entity_id,digital_entity_type,access_uri,web_statement,format,license,rights,rights_uri,access_rights,rights_holder,source,source_uri,creator,created ,modified,language,bibliographic_citation,,,,,,,
https://n2t.net/ark:/65665/m35f4517e3-7dc7-4a7f-b2fa-79b28f627417,STILL_IMAGE,https://n2t.net/ark:/65665/m35f4517e3-7dc7-4a7f-b2fa-79b28f627417,,tiff,CC0,CC0,https://www.si.edu/termsofuse,,Smithsonian Institution,"Specimen from Department of Paleobiology, NMNH, Smithsonian Institution.",,Pixel Acuity,,,EN,,,,,,,,
https://n2t.net/ark:/65665/m3c1ee9650-b31b-4277-8b49-0a1fd0ac213a,STILL_IMAGE,https://n2t.net/ark:/65665/m3c1ee9650-b31b-4277-8b49-0a1fd0ac213a,,tiff,CC0,CC0,https://www.si.edu/termsofuse,,Smithsonian Institution,"Specimen from Department of Paleobiology, NMNH, Smithsonian Institution.",,Pixel Acuity,,,EN,,,,,,,,
https://n2t.net/ark:/65665/m3a534ab84-a5f7-46d9-a3fa-635007d9712c,STILL_IMAGE,https://n2t.net/ark:/65665/m3a534ab84-a5f7-46d9-a3fa-635007d9712c,,tiff,CC0,CC0,https://www.si.edu/termsofuse,,Smithsonian Institution,"Specimen from Department of Paleobiology, NMNH, Smithsonian Institution.",,Pixel Acuity,,,EN,,,,,,,,
https://n2t.net/ark:/65665/m369904eef-8433-4d40-a9ae-effbf990680c,STILL_IMAGE,https://n2t.net/ark:/65665/m369904eef-8433-4d40-a9ae-effbf990680c,,tiff,CC0,CC0,https://www.si.edu/termsofuse,,Smithsonian Institution,"Specimen from Department of Paleobiology, NMNH, Smithsonian Institution.",,Pixel Acuity,,,EN,,,,,,,,
https://n2t.net/ark:/65665/m375c9acb3-00c1-4536-8efc-aaeb7c0aa62b,STILL_IMAGE,https://n2t.net/ark:/65665/m375c9acb3-00c1-4536-8efc-aaeb7c0aa62b,,tiff,CC0,CC0,https://www.si.edu/termsofuse,,Smithsonian Institution,"Specimen from Department of Paleobiology, NMNH, Smithsonian Institution.",,Pixel Acuity,,,EN,,,,,,,,
https://n2t.net/ark:/65665/m351d42e71-e7ce-4902-b75b-472076148865,STILL_IMAGE,https://n2t.net/ark:/65665/m351d42e71-e7ce-4902-b75b-472076148865,,tiff,CC0,CC0,https://www.si.edu/termsofuse,,Smithsonian Institution,"Specimen from Department of Paleobiology, NMNH, Smithsonian Institution.",,Pixel Acuity,,,EN,,,,,,,,
https://n2t.net/ark:/65665/m3ece967c7-1400-4275-9d95-4c783ff010ea,STILL_IMAGE,https://n2t.net/ark:/65665/m3ece967c7-1400-4275-9d95-4c783ff010ea,,tiff,CC0,CC0,https://www.si.edu/termsofuse,,Smithsonian Institution,"Specimen from Department of Paleobiology, NMNH, Smithsonian Institution.",,Pixel Acuity,,,EN,,,,,,,,
https://n2t.net/ark:/65665/m30e54949d-9044-4e85-9d0f-bc1de87a56cd,STILL_IMAGE,https://n2t.net/ark:/65665/m30e54949d-9044-4e85-9d0f-bc1de87a56cd,,tiff,CC0,CC0,https://www.si.edu/termsofuse,,Smithsonian Institution,"Specimen from Department of Paleobiology, NMNH, Smithsonian Institution.",,Pixel Acuity,,,EN,,,,,,,,
https://n2t.net/ark:/65665/m3be21231a-7c4c-408e-93cb-5c261736fdf2,STILL_IMAGE,https://n2t.net/ark:/65665/m3be21231a-7c4c-408e-93cb-5c261736fdf2,,tiff,CC0,CC0,https://www.si.edu/termsofuse,,Smithsonian Institution,"Specimen from Department of Paleobiology, NMNH, Smithsonian Institution.",,Pixel Acuity,,,EN,,,,,,,,
https://n2t.net/ark:/65665/m365cda4a0-53b9-48f4-a19b-ef16aa329604,STILL_IMAGE,https://n2t.net/ark:/65665/m365cda4a0-53b9-48f4-a19b-ef16aa329604,,tiff,CC-BY-NC,Usage Conditions Apply,https://www.si.edu/termsofuse,Usage Conditions Apply,Smithsonian Institution,"Specimen from Department of Paleobiology, NMNH, Smithsonian Institution.",,Pixel Acuity,,,EN,,,,,,,,
