assertion_id,assertion_target_id,assertion_target_type,assertion_parent_assertion_id,assertion_type,assertion_made_date,assertion_effective_date,assertion_value,assertion_value_numeric,assertion_unit,assertion_by_agent_name,assertion_by_agent_id,assertion_protocol,assertion_protocol_id,assertion_remarks
df6fee7d-2be8-3834-8577-04559a4076dd,dbb82672-1ed3-11e3-bfac-90b11c41863e,ORGANISM,,LENGTH,,,46.5-53mm SL,,,,,,,
abb24b0e-7f04-115f-c5b4-254c6807fc12,db3bdc27-1ed3-11e3-bfac-90b11c41863e,ORGANISM,,LENGTH,,,27-35mm SL,,,,,,,
d0d96bcc-121c-8c7b-9813-1ddfdf112a70,dbb86684-1ed3-11e3-bfac-90b11c41863e,ORGANISM,,LENGTH,,,124.5-140mm SL,,,,,,,
033c94dd-235d-d030-5733-2f8c1eede745,dbb88a07-1ed3-11e3-bfac-90b11c41863e,ORGANISM,,LENGTH,,,42-56.2mm SL,,,,,,,
983702a9-b13e-5da2-b6a3-9cf5b8fa6907,dbb8fda2-1ed3-11e3-bfac-90b11c41863e,ORGANISM,,LENGTH,,,35-48mm SL,,,,,,,
4c818d14-529f-5f9a-84ac-65921d7aa5e9,dbbb0472-1ed3-11e3-bfac-90b11c41863e,ORGANISM,,LENGTH,,,235mm SL,,,,,,,
e76d7087-010e-06fc-555a-6450dbadd085,dbbb057c-1ed3-11e3-bfac-90b11c41863e,ORGANISM,,LENGTH,,,240mm SL,,,,,,,
2c77d119-ed88-1505-fbe6-6ad249e1694e,dbbb0685-1ed3-11e3-bfac-90b11c41863e,ORGANISM,,LENGTH,,,235mm SL,,,,,,,
9f04874b-e7ab-e175-308d-3e878d77f889,dbbbe95e-1ed3-11e3-bfac-90b11c41863e,ORGANISM,,LENGTH,,,440mm SL,,,,,,,
64143fed-3397-7f74-8c50-109e9ad51481,dbbbeaba-1ed3-11e3-bfac-90b11c41863e,ORGANISM,,LENGTH,,,430mm SL,,,,,,,
12db4434-a233-d3d4-f411-55356d6eabbf,dbbbed5a-1ed3-11e3-bfac-90b11c41863e,ORGANISM,,LENGTH,,,320mm SL,,,,,,,
39e90782-c11e-24e2-a93f-e7f87146c42c,dbbbf662-1ed3-11e3-bfac-90b11c41863e,ORGANISM,,LENGTH,,,41-53mm TL,,,,,,,
8a503d5d-2cd2-3383-b3ac-56f0e2eff8aa,dbbc0cc3-1ed3-11e3-bfac-90b11c41863e,ORGANISM,,LENGTH,,,43.5-54mm SL,,,,,,,
95d5633e-b737-cce9-6282-3949d67c0163,dbbc1200-1ed3-11e3-bfac-90b11c41863e,ORGANISM,,LENGTH,,,340mm SL,,,,,,,
4e681375-af3a-f9d9-1658-4d43c6ef7be7,dbbc130b-1ed3-11e3-bfac-90b11c41863e,ORGANISM,,LENGTH,,,355mm SL,,,,,,,
376bd7fc-d802-16bf-42f4-fca6b107c2f3,dbbc141a-1ed3-11e3-bfac-90b11c41863e,ORGANISM,,LENGTH,,,345mm SL,,,,,,,
