Collection Object GUID,Col Obj Attribute Size
dbcd3d2a-1ed3-11e3-bfac-90b11c41863e,169mm SL
dbcd3e79-1ed3-11e3-bfac-90b11c41863e,103-124mm SL
dbcd3f87-1ed3-11e3-bfac-90b11c41863e,115mm SL
dbcd5f87-1ed3-11e3-bfac-90b11c41863e,13mm SL
dbd24af8-1ed3-11e3-bfac-90b11c41863e,73-106mm SL
dbd26141-1ed3-11e3-bfac-90b11c41863e,102-118mm SL
dbd27e3b-1ed3-11e3-bfac-90b11c41863e,77-85mm SL
dbd2c4fd-1ed3-11e3-bfac-90b11c41863e,216-284mm SL
dcb86264-1ed3-11e3-bfac-90b11c41863e,48-53mm SL
dbd4e0bf-1ed3-11e3-bfac-90b11c41863e,88mm SL
dbd4fb40-1ed3-11e3-bfac-90b11c41863e,350mm TL
dcbcc172-1ed3-11e3-bfac-90b11c41863e,49-61mm SL
dbd5414b-1ed3-11e3-bfac-90b11c41863e,111.1mm SL
dbd5467f-1ed3-11e3-bfac-90b11c41863e,65mm SL
dbd59370-1ed3-11e3-bfac-90b11c41863e,46-50mm SL
dbd6457e-1ed3-11e3-bfac-90b11c41863e,22-44mm SL
dbd646cd-1ed3-11e3-bfac-90b11c41863e,20-45mm SL
dbd64818-1ed3-11e3-bfac-90b11c41863e,32mm SL
dbd64963-1ed3-11e3-bfac-90b11c41863e,21-36mm SL
dbd64bfc-1ed3-11e3-bfac-90b11c41863e,31-54mm SL
dbd64e05-1ed3-11e3-bfac-90b11c41863e,21-47mm SL
dbd64f27-1ed3-11e3-bfac-90b11c41863e,400mm SL
dbd65046-1ed3-11e3-bfac-90b11c41863e,400mm SL
dbd65160-1ed3-11e3-bfac-90b11c41863e,41-63mm SL
dbd6527e-1ed3-11e3-bfac-90b11c41863e,27-47mm SL
dbd65397-1ed3-11e3-bfac-90b11c41863e,118mm SL
dbd6552e-1ed3-11e3-bfac-90b11c41863e,50mm SL
dbd65652-1ed3-11e3-bfac-90b11c41863e,20-30mm SL
dbd6584f-1ed3-11e3-bfac-90b11c41863e,11-39mm SL
dbd65972-1ed3-11e3-bfac-90b11c41863e,30-43mm SL
dbd65e73-1ed3-11e3-bfac-90b11c41863e,42-50mm SL
dbd65f82-1ed3-11e3-bfac-90b11c41863e,55mm SL
dbd6619b-1ed3-11e3-bfac-90b11c41863e,44mm SL
dbd663af-1ed3-11e3-bfac-90b11c41863e,255-270mm SL
dbd664ba-1ed3-11e3-bfac-90b11c41863e,27-40mm SL
dbd665c4-1ed3-11e3-bfac-90b11c41863e,31-50mm SL
dbd666ca-1ed3-11e3-bfac-90b11c41863e,26-41mm SL
dbd667d1-1ed3-11e3-bfac-90b11c41863e,49-80mm SL
dbd668d6-1ed3-11e3-bfac-90b11c41863e,37-87mm SL
dbd669db-1ed3-11e3-bfac-90b11c41863e,23-30mm SL
dbd66ae4-1ed3-11e3-bfac-90b11c41863e,62mm SL
dbd66beb-1ed3-11e3-bfac-90b11c41863e,80mm SL
dbd66cf5-1ed3-11e3-bfac-90b11c41863e,31-54mm SL
dbd66dff-1ed3-11e3-bfac-90b11c41863e,26-50mm SL
dbd66f05-1ed3-11e3-bfac-90b11c41863e,34-85mm SL
dbd6700d-1ed3-11e3-bfac-90b11c41863e,147mm SL
