digital_entity_id,digital_entity_type,access_uri
548316ba-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/JQ937774
54831705-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/JQ938434
54831c5d-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/JQ937924
54831cbd-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/JQ937487
54831d08-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/JQ939359
5489d15d-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/KC825941
5489d495-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/KC827414
5489d4e5-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/KC826853
5489d530-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/KC829708
5470a959-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/AF488446 
5474993e-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/AF488496 
5485a45c-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/KF930465
546e949d-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/AY700335 
54707f99-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/AY679649 
5473ba34-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/AY700265 
546e7bdb-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/JX190213 
546ef0f7-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/JX188806 
546f0cfd-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/JX189286 
546fab48-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/JX189499 
54703615-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/JX190047 
54704ab6-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/JX189907 
547078ac-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/JX189745 
547190ab-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/JX189132 
5473f2bb-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/JX188979 
54740456-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/JX189427 
548d2447-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/SRX13089848
54764d64-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/KC825371
5477280c-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/KC826074
5477db47-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/KC826640
547b1c82-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/KC828456
547d9cda-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/KC830009
547f2217-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/KC830765
5472fa11-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/HQ168919 
547330c1-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/HQ168679 
547365ff-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/HQ168568 
54736f51-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/HQ169041 
5473b148-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/HQ168797 
5477eb37-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/KC826797
547d3947-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/KC829843
548026ca-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/KF140552
54802712-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/KF140760
5480275a-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/KF139586
548027a2-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/KF141006
548027ea-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/KF141260
54802831-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/KF140366
54709a4c-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/AF285936 
54740d8f-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/AF285958 
548b60ff-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/MW630266
548b6148-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/MW631064
548b6192-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/MW631465
548b61db-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/MW631258
548b6225-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/MW631654
548b626f-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/MW630651
548b62b9-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/MW630856
547dcc49-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/KC830230
548b68c0-a0b5-11ed-803c-6c2b597b15e2,GENETIC_SEQUENCE,https://www.ncbi.nlm.nih.gov/nuccore/MW630273
