digital_entity_id,digital_entity_type,access_uri,web_statement,format,license,rights,rights_uri,access_rights,rights_holder,source,source_uri,creator,created,modified,language
3d710c9e-2fd4-487f-be1c-f9da764c8f51,StillImage,http://biimages.biodiversity.ku.edu/static/Ichthyology/originals/sp62083678273028996525.att.jpg,,image/jpeg,http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms,,https://creativecommons.org/licenses/by/4.0/legalcode,,University of Kansas Biodiversity Institute,,,"User, Test C",10/3/2012,10/3/2012,
29ee7b5f-8bd3-4db2-b201-4f010756f080,StillImage,http://biimages.biodiversity.ku.edu/static/Ichthyology/originals/sp66213715342136095691.att.jpg,,image/jpeg,http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms,,https://creativecommons.org/licenses/by/4.0/legalcode,,University of Kansas Biodiversity Institute,,,"User, Test C",10/3/2012,10/3/2012,
be2ac5fe-119f-4b2d-bea5-03b3702e46fa,StillImage,http://biimages.biodiversity.ku.edu/static/Ichthyology/originals/sp68748659330426109900.att.jpg,,image/jpeg,http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms,,https://creativecommons.org/licenses/by/4.0/legalcode,,University of Kansas Biodiversity Institute,,,"User, Test C",10/3/2012,10/3/2012,
7b502ac4-3da8-4773-9dca-71f65b4bac83,StillImage,http://biimages.biodiversity.ku.edu/static/Ichthyology/originals/sp61233909736665232849.att.jpg,,image/jpeg,http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms,,https://creativecommons.org/licenses/by/4.0/legalcode,,University of Kansas Biodiversity Institute,,,"User, Test C",10/3/2012,10/3/2012,
33ef6b50-0bb4-4f3d-bf04-3f17043450b7,StillImage,http://biimages.biodiversity.ku.edu/static/Ichthyology/originals/sp63729814590392103206.att.jpg,,image/jpeg,http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms,,https://creativecommons.org/licenses/by/4.0/legalcode,,University of Kansas Biodiversity Institute,,,"User, Test C",10/3/2012,10/3/2012,
beca5b5f-6b0f-4ea9-8911-baa84e144681,StillImage,http://biimages.biodiversity.ku.edu/static/Ichthyology/originals/sp63640992511561866206.att.jpg,,image/jpeg,http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms,,https://creativecommons.org/licenses/by/4.0/legalcode,,University of Kansas Biodiversity Institute,,,"User, Test C",10/3/2012,10/3/2012,
db38f98e-7d89-4f51-86ad-1e5aceb62940,StillImage,http://biimages.biodiversity.ku.edu/static/Ichthyology/originals/sp61691352568732559120.att.jpg,,image/jpeg,http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms,,https://creativecommons.org/licenses/by/4.0/legalcode,,University of Kansas Biodiversity Institute,,,"User, Test C",10/3/2012,10/3/2012,
7cc3be49-af98-42d7-b921-ec8c306c7a88,StillImage,http://biimages.biodiversity.ku.edu/static/Ichthyology/originals/sp63705889101100463267.att.jpg,,image/jpeg,http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms,,https://creativecommons.org/licenses/by/4.0/legalcode,,University of Kansas Biodiversity Institute,,,"User, Test C",10/3/2012,10/3/2012,
c57a8ef6-bacb-4f4d-8947-777a96b04607,StillImage,http://biimages.biodiversity.ku.edu/static/Ichthyology/originals/sp66598102226684978816.att.jpg,,image/jpeg,http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms,,https://creativecommons.org/licenses/by/4.0/legalcode,,University of Kansas Biodiversity Institute,,,"User, Test C",10/3/2012,10/3/2012,
78c61f40-6838-4c7e-bd3d-78591e5522bb,StillImage,http://biimages.biodiversity.ku.edu/static/Ichthyology/originals/sp67477105184167076079.att.jpg,,image/jpeg,http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms,,https://creativecommons.org/licenses/by/4.0/legalcode,,University of Kansas Biodiversity Institute,,,"User, Test C",10/3/2012,10/3/2012,
