material_entity_id,material_entity_type,preparations,disposition,institution_code,institution_id,collection_code,collection_id,owner_institution_code,catalog_number,record_number,recorded_by,recorded_by_id,associated_references,associated_sequences,other_catalog_numbers
98705cc8f06da568aaeb030d2590a737146ded6d,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45772,,Miguel Cigarroa,MC,,,ECOSUR-SC:ECOAB:45772
edd6ec2ab2db267314b292b95b9fc7e5a1b54b71,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45773,,Carlos Balboa,CB,,,ECOSUR-SC:ECOAB:45773
f528b55e5e48615aeba257add814ae05fe99f557,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45774,,Alonso López,AL,,,ECOSUR-SC:ECOAB:45774
6eefadbae0b91786c839d4cd7e4928b10db38ce5,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45776,,Carlos Balboa,CB,,,ECOSUR-SC:ECOAB:45776
e58c85016ce7a8a1ae5d7493b55d9715ed8f3972,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45777,,Carlos Balboa,CB,,,ECOSUR-SC:ECOAB:45777
48680ef0175f2fb9d04b5ea64671ee2cd511e523,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45778,,Philippe Sagot,PS,,,ECOSUR-SC:ECOAB:45778
39e2be927d6475d7e2c10e2e638e6d929a43cea1,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45779,,Alonso López,AL,,,ECOSUR-SC:ECOAB:45779
ced05acafeeb0d90424ec756070dcf770bf9560e,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45787,,Carlos Balboa,CB,,,ECOSUR-SC:ECOAB:45787
ccca01b8dfecdbb863bef22a78c07027140950b7,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45792,,Philippe Sagot,PS,,,ECOSUR-SC:ECOAB:45792
deb3ea915254f1a1c032d6188b71c79d9dff1476,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45793,,Philippe Sagot,PS,,,ECOSUR-SC:ECOAB:45793
