identification_id,organism_id,identification_type,taxon_formula,verbatim_identification,type_status,identified_by,identified_by_id,date_identified,identification_references,identification_verification_status,identification_remarks,type_designation_type,type_designated_by
c22041b7f736cc9c8a6ca4d143ab582aad331cad,3a394c0f0f676e06a6ca6c947060cb461ecb4ca2,features,A,,,Jorge Mérida,JM,,,,,,
1c72483b505126b3789279a680bcb9a42181c3ca,2533fe3d2caaa302e292060f855fdb10510be1f8,features,A,,,Jorge Mérida,JM,,,,,,
2c1556df7d6f5e8f709bf23ed1937c8ae8e0c369,5902171690dad02cb838ace86e25403380525106,features,A,,,Jorge Mérida,JM,,,,,,
81500e28bfd2071b494f0c97a44085809cc7a621,08e1f2047f9e5a81dd6a6faabd0c3af5dc474772,features,A,,,Philippe Sagot,PS,,,,,,
acb3753e9eb0c1d31409f3a8f093f28ba8941728,101251fc089217246db8f91a16726b49f49b687a,features,A,,,Jorge Mérida,JM,,,,,,
9050983a9e964674266e4492c3b66f75c1a69023,4627e931844d8ca490887180323e2af19d2be6f6,features,A,,,Philippe Sagot,PS,,,,,,
536b694c026e713683541ca0e651eb4b9523cebe,ee5e8f49779b2a420c8fff9213c9efb5d41b6261,features,A,,,Jorge Mérida,JM,,,,,,
d362f9192a04237801a2d72e90a2cdd0d5f9ff24,cc948f0dcc31f90560545a6805a347645c5a8e52,features,A,,,Jorge Mérida,JM,,,,,,
2b64f6c890e539edf8483cf303c2c4233c45f417,ca6a9af3294b89cd5fc942213546316f44be8a57,features,A,,,Jorge Mérida,JM,,,,,,
7a1cdf3bf07ce8debf4dfdf74f69ee39d40f3232,3b21187b4937d4a03907e49272f4a8835470338a,features,A,,,Jorge Mérida,JM,,,,,,
3c5e5eaad28c056636085cddec30dac56fb82424,40a532c3514124e18a410da2ae38e1c552d6b420,features,A,,,Philippe Sagot,PS,,,,,,
5cc0f524c6cf3f62bdbfe71aeebf6e846943f451,f965511276bd19932cdeca3f84fdf8f0e59f2730,features,A,,,Philippe Sagot,PS,,,,,,
47820db29a301c98568f39a953ba6d63b503068e,6d6461bcd235002fe2f7f7b36fccb2a977474fec,features,A,,,Philippe Sagot,PS,,,,,,
8f17d69c28be399b040badeaea9bdee13e0761a8,5a6776f3c75ecbef00bbbc942592fe1a2a1e7d28,features,A,,,Philippe Sagot,PS,,,,,,
a973da91c24b06fb5b28c7e7c67689188ff13e2d,326a2b1ad55c16bf61fda9fb35de2cf32b1eb7ce,features,A,,,Philippe Sagot,PS,,,,,,
e5105e6eb85db6e2fd4a17fea060c53d4277a10e,66d94e534ed3bf908fec7d6fdfb89cadb94ab23a,features,A,,,Philippe Sagot,PS,,,,,,
bdc7c54bf2c11adffa126bbc9afbadf3d18eae52,3bfd073dfff939d5f8aa347835341140afc18e42,features,A,,,Philippe Sagot,PS,,,,,,
85aeeaa87f718a90d4897ab14b2927efd2a39fef,e50c2d840786ed49ce874a9d532784e1cdb96e94,features,A,,,Jorge Mérida,JM,,,,,,
23e4f4faa8431f0006a42f206e79afe3316f7a62,5cff75502752f9f69954bfa89251920a3c8d9f60,features,A,,,Philippe Sagot,PS,,,,,,
a61a4dbc6c33bd843f8335eae84515874bad6425,0ea48e381e36165fa9993c751d06f13bcf444aae,features,A,,,Philippe Sagot,PS,,,,,,
