taxon_id,scientific_name,scientific_name_authorship,name_according_to,name_according_to_id,taxon_rank,taxon_source,scientific_name_id,taxon_remarks,parent_taxon_id,taxonomic_status,kingdom,phylum,class,order,family,subfamily,genus,subgenus,accepted_scientific_name
e3961bea1e2df5c50055e8e1f2559c44ad117e60,Carica papaya,,,,species,,,"{""verbatimScientificName"": ""Carica papaya""}",,,Plantae,Tracheophyta,Equisetopsida,Brassicales,Caricaceae,,Carica,,
82c38a6b6ddd461e5e495819823d6296db007410,Sechium edule,,,,species,,,"{""verbatimScientificName"": ""Sechium edule""}",,,Plantae,Tracheophyta,Equisetopsida,Cucurbitales,Cucurbitaceae,,Sechium,,
f65c3fa1951a3087d931cf435b198c7df73144ea,Cyperus,,,,genus,,,,,,Plantae,Tracheophyta,Equisetopsida,Poales,Cyperaceae,,Cyperus,,
eb0cc4bf5126e8f71bee22e2d71c5ebf2070f650,Galinsoga,,,,genus,,,,,,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,,Galinsoga,,
6d8c5462c71f27d4a7ef4b3d4ede96e2b9c14e38,Dichorisandra,,,,genus,,,,,,Plantae,Tracheophyta,Equisetopsida,Commelinales,Commelinaceae,,Dichorisandra,,
d3e9196c22c9f86435c3c7d487f5e16c857eebc8,Opuntia ficus-indica,,,,species,,,"{""verbatimScientificName"": ""Opuntia ficus-indica""}",,,Plantae,Tracheophyta,Equisetopsida,Caryophyllales,Cactaceae,,Opuntia,,
4724134d414f9294fcd88ecd9d03d2e1a078e644,Crotalaria,,,,genus,,,,,,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae,,Crotalaria,,
6b4abec1a37e5d2a79e73b7a1b2fd61281afe59f,Pisum sativum,,,,species,,,"{""verbatimScientificName"": ""Pisum sativum""}",,,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae,,Pisum,,
3542ee94620c746438061fe76a7aefddd757317a,Bursera,,,,genus,,,,,,Plantae,Tracheophyta,Equisetopsida,Sapindales,Burseraceae,,Bursera,,
c9d6bcd3f3fe135f53ff0f2c6ddab9af061a284e,Tithonia diversifolia,,,,species,,,"{""verbatimScientificName"": ""Tithonia diversifolia""}",,,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,,Tithonia,,
678dee6e12addc0888300d4bc162ca3dd0f9860e,Amphilophium paniculatum,,,,species,,,"{""verbatimScientificName"": ""Amphilophium paniculatum""}",,,Plantae,Tracheophyta,Equisetopsida,Lamiales,Bignoniaceae,,Amphilophium,,
b0a22277716239033661c795232d0570dd0f49cf,Melanthera,,,,genus,,,,,,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,,Melanthera,,
2f9c6f0935c97e3c52da24b6a4ed0990a3cb568f,Sechium,,,,genus,,,,,,Plantae,Tracheophyta,Equisetopsida,Cucurbitales,Cucurbitaceae,,Sechium,,
0931cd0bd038a9353ce683179beb5dfd33dfc726,Distimake tuberosus,,,,species,,,"{""verbatimScientificName"": ""Distimake tuberosus""}",,,Plantae,Tracheophyta,Equisetopsida,Solanales,Convolvulaceae,,Distimake,,
14a6f70daadf19158925ce5a00e4b82f8e72516d,Dicliptera sexangularis,,,,species,,,"{""verbatimScientificName"": ""Dicliptera sexangularis""}",,,Plantae,Tracheophyta,Equisetopsida,Lamiales,Acanthaceae,,Dicliptera,,
1c47e56e87eedb63f69e948c83fdcd12c9470f7c,Lantana camara,,,,species,,,"{""verbatimScientificName"": ""Lantana camara""}",,,Plantae,Tracheophyta,Equisetopsida,Lamiales,Verbenaceae,,Lantana,,
d37814b9f8a5c1e895436a501531a48ba78c67bf,Acmella,,,,genus,,,,,,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,,Acmella,,
272bbf35f0166a5d9555d1abfc831d97eef4ad50,Rytidostylis gracilis,,,,species,,,"{""verbatimScientificName"": ""Rytidostylis gracilis""}",,,Plantae,Tracheophyta,Equisetopsida,Cucurbitales,Cucurbitaceae,,Rytidostylis,,
40349e36eee4669e5630447c0d307d2f4a203043,Jaltomata,,,,genus,,,,,,Plantae,Tracheophyta,Equisetopsida,Solanales,Solanaceae,,Jaltomata,,
30e3834aa566fdd8db67d86759edbe711e331007,Heliconia,,,,genus,,,,,,Plantae,Tracheophyta,Equisetopsida,Zingiberales,Heliconiaceae,,Heliconia,,
c30844c176309cf34a66069e05ac207491913334,Senna alata,,,,species,,,"{""verbatimScientificName"": ""Senna alata""}",,,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae,,Senna,,
f657c795ab43a81f36b626e397f7a718f1f489d6,Dalea domingensis,,,,species,,,"{""verbatimScientificName"": ""Dalea domingensis""}",,,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae,,Dalea,,
8589eed0d8be56d6a1416e8fe1889ef732d74e5c,Salpianthus arenarius,,,,species,,,"{""verbatimScientificName"": ""Salpianthus arenarius""}",,,Plantae,Tracheophyta,Equisetopsida,Caryophyllales,Nyctaginaceae,,Salpianthus,,
