occurrenceID,relatedResourceID,resourceID,relationshipOfResource,relationshipOfResourceID
ECOSUR-SC:ECOAB:120160,SACOFF,ECOSUR-SC:ECOAB:120160,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120161,SACOFF,ECOSUR-SC:ECOAB:120161,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120162,SACOFF,ECOSUR-SC:ECOAB:120162,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120163,SACOFF,ECOSUR-SC:ECOAB:120163,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120164,SACOFF,ECOSUR-SC:ECOAB:120164,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120166,SACOFF,ECOSUR-SC:ECOAB:120166,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120167,SACOFF,ECOSUR-SC:ECOAB:120167,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120168,SACOFF,ECOSUR-SC:ECOAB:120168,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120176,TECGRA,ECOSUR-SC:ECOAB:120176,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120177,TECGRA,ECOSUR-SC:ECOAB:120177,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120183,TECGRA,ECOSUR-SC:ECOAB:120183,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120184,TECGRA,ECOSUR-SC:ECOAB:120184,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120185,TECGRA,ECOSUR-SC:ECOAB:120185,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120186,TECGRA,ECOSUR-SC:ECOAB:120186,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120208,TECGRA,ECOSUR-SC:ECOAB:120208,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120215,TECGRA,ECOSUR-SC:ECOAB:120215,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120216,TECGRA,ECOSUR-SC:ECOAB:120216,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120228,TECGRA,ECOSUR-SC:ECOAB:120228,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120238,TECGRA,ECOSUR-SC:ECOAB:120238,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120239,TECGRA,ECOSUR-SC:ECOAB:120239,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120240,TECGRA,ECOSUR-SC:ECOAB:120240,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120241,TECGRA,ECOSUR-SC:ECOAB:120241,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120243,TECGRA,ECOSUR-SC:ECOAB:120243,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120244,TECGRA,ECOSUR-SC:ECOAB:120244,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120248,TECGRA,ECOSUR-SC:ECOAB:120248,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120249,TECGRA,ECOSUR-SC:ECOAB:120249,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120252,TECGRA,ECOSUR-SC:ECOAB:120252,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120253,TECGRA,ECOSUR-SC:ECOAB:120253,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120254,TECGRA,ECOSUR-SC:ECOAB:120254,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120255,TECGRA,ECOSUR-SC:ECOAB:120255,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120256,TECGRA,ECOSUR-SC:ECOAB:120256,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120262,TECGRA,ECOSUR-SC:ECOAB:120262,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120268,TECGRA,ECOSUR-SC:ECOAB:120268,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:12030,SIDSP,ECOSUR-SC:ECOAB:12030,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120309,SACOFF,ECOSUR-SC:ECOAB:120309,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120310,SACOFF,ECOSUR-SC:ECOAB:120310,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120311,SACOFF,ECOSUR-SC:ECOAB:120311,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120312,SACOFF,ECOSUR-SC:ECOAB:120312,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120313,SACOFF,ECOSUR-SC:ECOAB:120313,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120314,SACOFF,ECOSUR-SC:ECOAB:120314,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120315,SACOFF,ECOSUR-SC:ECOAB:120315,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120316,SACOFF,ECOSUR-SC:ECOAB:120316,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120317,SACOFF,ECOSUR-SC:ECOAB:120317,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120318,SACOFF,ECOSUR-SC:ECOAB:120318,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120320,SACOFF,ECOSUR-SC:ECOAB:120320,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120321,SACOFF,ECOSUR-SC:ECOAB:120321,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120322,SACOFF,ECOSUR-SC:ECOAB:120322,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120323,SACOFF,ECOSUR-SC:ECOAB:120323,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120324,SACOFF,ECOSUR-SC:ECOAB:120324,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120325,SACOFF,ECOSUR-SC:ECOAB:120325,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120326,SACOFF,ECOSUR-SC:ECOAB:120326,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120327,SACOFF,ECOSUR-SC:ECOAB:120327,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
