taxonID,scientificName,taxonRank,kingdom,phylum,class,order,family,genus,verbatimScientificName
MELDIV,Melampodium divaricatum,species,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,Melampodium,Melampodium divaricatum
COFARA,Coffea arabica,species,Plantae,Tracheophyta,Equisetopsida,Gentianales,Rubiaceae,Coffea,Coffea arabica
FABFAM,Fabaceae,family,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae,,
ACAFAM,Acanthaceae,family,Plantae,Tracheophyta,Equisetopsida,Lamiales,Acanthaceae,,
LAMFAM,Lamiaceae,family,Plantae,Tracheophyta,Equisetopsida,Lamiales,Lamiaceae,,
OXASP,Oxalis,genus,Plantae,Tracheophyta,Equisetopsida,Oxalidales,Oxalidaceae,Oxalis,
EUPSP,Euphorbia,genus,Plantae,Tracheophyta,Equisetopsida,Malpighiales,Euphorbiaceae,Euphorbia,
TECGRA,Tectona grandis,species,Plantae,Tracheophyta,Equisetopsida,Lamiales,Lamiaceae,Tectona,Tectona grandis
SYZSP,Syzygium,genus,Plantae,Tracheophyta,Equisetopsida,Myrtales,Myrtaceae,Syzygium,
SACOFF,Saccharum officinarum,species,Plantae,Tracheophyta,Equisetopsida,Poales,Poaceae,Saccharum,Saccharum officinarum
BYRCRA,Byrsonima crassifolia,species,Plantae,Tracheophyta,Equisetopsida,Malpighiales,Malpighiaceae,Byrsonima,Byrsonima crassifolia
BIXORE,Bixa orellana,species,Plantae,Tracheophyta,Equisetopsida,Malvales,Bixaceae,Bixa,Bixa orellana
SOLNIG,Solanum nigrescens,species,Plantae,Tracheophyta,Equisetopsida,Solanales,Solanaceae,Solanum,Solanum nigrescens
CROLON,Crotalaria longirostrata,species,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae,Crotalaria,Crotalaria longirostrata
RAPSAT,Raphanus sativus,species,Plantae,Tracheophyta,Equisetopsida,Brassicales,Brassicaceae,Raphanus,Raphanus sativus
OXALAT,Oxalis latifolia,species,Plantae,Tracheophyta,Equisetopsida,Oxalidales,Oxalidaceae,Oxalis,Oxalis latifolia
LUPSP,Lupinus,genus,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae,Lupinus,
DAUCAR,Daucus carota,species,Plantae,Tracheophyta,Equisetopsida,Apiales,Apiaceae,Daucus,Daucus carota
TITLON,Tithonia longiradiata,species,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,Tithonia,Tithonia longiradiata
TRIPL,Trichilia,genus,Plantae,Tracheophyta,Equisetopsida,Sapindales,Meliaceae,Trichilia,
OPUSP,Opuntia,genus,Plantae,Tracheophyta,Equisetopsida,Caryophyllales,Cactaceae,Opuntia,
SNESP,Senecio,genus,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,Senecio,
RHUTER,Rhus terebinthifolia,species,Plantae,Tracheophyta,Equisetopsida,Sapindales,Anacardiaceae,Rhus,Rhus terebinthifolia
JACMIM,Jacaranda mimosifolia,species,Plantae,Tracheophyta,Equisetopsida,Lamiales,Bignoniaceae,Jacaranda,Jacaranda mimosifolia
SOLSP,Solanum,genus,Plantae,Tracheophyta,Equisetopsida,Solanales,Solanaceae,Solanum,
IPOTRI,Ipomoea triloba,species,Plantae,Tracheophyta,Equisetopsida,Solanales,Convolvulaceae,Ipomoea,Ipomoea triloba
WIGURE,Wigandia urens,species,Plantae,Tracheophyta,Equisetopsida,Boraginales,Namaceae,Wigandia,Wigandia urens
ACASP,Acacia,genus,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae,Acacia,
TABROS,Tabebuia rosea,species,Plantae,Tracheophyta,Equisetopsida,Lamiales,Bignoniaceae,Tabebuia,Tabebuia rosea
INGOER,Inga oerstediana,species,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae,Inga,Inga oerstediana
GLISEP,Gliricidia sepium,species,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae,Gliricidia,Gliricidia sepium
PSIGUA,Psidium guajava,species,Plantae,Tracheophyta,Equisetopsida,Myrtales,Myrtaceae,Psidium,Psidium guajava
STESP,Stenocereus,genus,Plantae,Tracheophyta,Equisetopsida,Caryophyllales,Cactaceae,Stenocereus,
AGASP,Agave,genus,Plantae,Tracheophyta,Equisetopsida,Asparagales,Asparagaceae,Agave,
IPOFIS,Ipomoea fistulosa,species,Plantae,Tracheophyta,Equisetopsida,Solanales,Convolvulaceae,Ipomoea,Ipomoea fistulosa
CROGUA,Croton guatemalensis,species,Plantae,Tracheophyta,Equisetopsida,Malpighiales,Euphorbiaceae,Croton,Croton guatemalensis
COUHEX,Coutarea hexandra,species,Plantae,Tracheophyta,Equisetopsida,Gentianales,Rubiaceae,Coutarea,Coutarea hexandra
TRIPRO,Tridax procumbens,species,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,Tridax,Tridax procumbens
CONFAM,Convolvulaceae,family,Plantae,Tracheophyta,Equisetopsida,Solanales,Convolvulaceae,,
MERSP,Merremia,genus,Plantae,Tracheophyta,Equisetopsida,Solanales,Convolvulaceae,Merremia,
SENATO,Senna atomaria,species,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae,Senna,Senna atomaria
TABSP,Tabernaemontana,genus,Plantae,Tracheophyta,Equisetopsida,Gentianales,Apocynaceae,Tabernaemontana,
POLFLO,Polygala floribunda,species,Plantae,Tracheophyta,Equisetopsida,Fabales,Polygalaceae,Polygala,Polygala floribunda
ROSFAM,Rosaceae,family,Plantae,Tracheophyta,Equisetopsida,Rosales,Rosaceae,,
ASTVIM,Astianthus viminalis,species,Plantae,Tracheophyta,Equisetopsida,Lamiales,Bignoniaceae,Astianthus,Astianthus viminalis
MALSP,Malvaviscus,genus,Plantae,Tracheophyta,Equisetopsida,Malvales,Malvaceae,Malvaviscus,
SESIND,Sesamum indicum,species,Plantae,Tracheophyta,Equisetopsida,Lamiales,Pedaliaceae,Sesamum,Sesamum indicum
BRAFAM,Brassicaceae,family,Plantae,Tracheophyta,Equisetopsida,Brassicales,Brassicaceae,,
RUBFAM,Rubiaceae,family,Plantae,Tracheophyta,Equisetopsida,Gentianales,Rubiaceae,,
TRMSP,Triumfetta,genus,Plantae,Tracheophyta,Equisetopsida,Malvales,Malvaceae,Triumfetta,
BIDPIL,Bidens pilosa,species,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,Bidens,Bidens pilosa
GONGAL,Gongora galeata,species,Plantae,Tracheophyta,Equisetopsida,Asparagales,Orchidaceae,Gongora,Gongora galeata
EPASP,Eupatorium,genus,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,Eupatorium,
SPOSP,Spondias,genus,Plantae,Tracheophyta,Equisetopsida,Sapindales,Anacardiaceae,Spondias,
ACACOR,Acacia cornigera,species,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae,Acacia,Acacia cornigera
VERSP,Vernonia,genus,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,Vernonia,
TABDON,Tabernaemontana donnell-smithii,species,Plantae,Tracheophyta,Equisetopsida,Gentianales,Apocynaceae,Tabernaemontana,Tabernaemontana donnell-smithii
HETLAU,Heteropterys laurifolia,species,Plantae,Tracheophyta,Equisetopsida,Malpighiales,Malpighiaceae,Heteropterys,Heteropterys laurifolia
BEGNEL,Begonia nelumbonifolia,species,Plantae,Tracheophyta,Equisetopsida,Cucurbitales,Begoniaceae,Begonia,Begonia nelumbonifolia
RUBSP,Rubus,genus,Plantae,Tracheophyta,Equisetopsida,Rosales,Rosaceae,Rubus,
PORSP,Portulaca,genus,Plantae,Tracheophyta,Equisetopsida,Caryophyllales,Portulacaceae,Portulaca,
PIPSP,Piper,genus,Plantae,Tracheophyta,Equisetopsida,Piperales,Piperaceae,Piper,
CECSP,Cecropia,genus,Plantae,Tracheophyta,Equisetopsida,Rosales,Urticaceae,Cecropia,
ERNSP,Eryngium,genus,Plantae,Tracheophyta,Equisetopsida,Apiales,Apiaceae,Eryngium,
PHAVUL,Phaseolus vulgaris,species,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae,Phaseolus,Phaseolus vulgaris
SENSP,Senna,genus,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae,Senna,
CRAPUB,Crataegus,genus,Plantae,Tracheophyta,Equisetopsida,Rosales,Rosaceae,Crataegus,Crataegus pubescens
BIDAUR,Bidens aurea,species,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,Bidens,Bidens aurea
DAHIMP,Dahlia imperialis,species,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,Dahlia,Dahlia imperialis
MANIND,Mangifera indica,species,Plantae,Tracheophyta,Equisetopsida,Sapindales,Anacardiaceae,Mangifera,Mangifera indica
ACAFAR,Acacia farnesiana,species,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae,Acacia,Acacia farnesiana
HYPTOM,Hyptis tomentosa,species,Plantae,Tracheophyta,Equisetopsida,Lamiales,Lamiaceae,Hyptis,Hyptis tomentosa
MOROLE,Moringa oleifera,species,Plantae,Tracheophyta,Equisetopsida,Brassicales,Moringaceae,Moringa,Moringa oleifera
DIPCAR,Diphysa carthagenensis,species,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae,Diphysa,Diphysa carthagenensis
CUCPEP,Cucurbita pepo,species,Plantae,Tracheophyta,Equisetopsida,Cucurbitales,Cucurbitaceae,Cucurbita,Cucurbita pepo
DOLUNG,Dolichandra unguis-cati,species,Plantae,Tracheophyta,Equisetopsida,Lamiales,Bignoniaceae,Dolichandra,Dolichandra unguis-cati
ARDBRE,Ardisia breedlovei,species,Plantae,Tracheophyta,Equisetopsida,Ericales,Primulaceae,Ardisia,Ardisia breedlovei
BIGFAM,Bignoniaceae,family,Plantae,Tracheophyta,Equisetopsida,Lamiales,Bignoniaceae,,
HETSP,Heteropterys,genus,Plantae,Tracheophyta,Equisetopsida,Malpighiales,Malpighiaceae,Heteropterys,
CROSP,Croton,genus,Plantae,Tracheophyta,Equisetopsida,Malpighiales,Euphorbiaceae,Croton,
MACRIP,Machaerium riparium,species,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae,Machaerium,Machaerium riparium
PROJUL,Prosopis juliflora,species,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae,Prosopis,Prosopis juliflora
COCCAR,Coccoloba caracasana,species,Plantae,Tracheophyta,Equisetopsida,Caryophyllales,Polygonaceae,Coccoloba,Coccoloba caracasana
SENPAL,Senna pallida,species,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae,Senna,Senna pallida
MALFAM,Malvaceae,family,Plantae,Tracheophyta,Equisetopsida,Malvales,Malvaceae,,
TRISER,Tripogandra serrulata,species,Plantae,Tracheophyta,Equisetopsida,Commelinales,Commelinaceae,Tripogandra,Tripogandra serrulata
LEPCAN,Lepidaploa canescens,species,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,Lepidaploa,Lepidaploa canescens
PHASP,Phaseolus,genus,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae,Phaseolus,
MARMIL,Mariosousa millefolia,species,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae,Mariosousa,Mariosousa millefolia
COMFRU,Combretum fruticosum,species,Plantae,Tracheophyta,Equisetopsida,Myrtales,Combretaceae,Combretum,Combretum fruticosum
VERFAM,Verbenaceae,family,Plantae,Tracheophyta,Equisetopsida,Lamiales,Verbenaceae,,
SENNIC,Senna nicaraguensis,species,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae,Senna,Senna nicaraguensis
LUDSP,Ludwigia,genus,Plantae,Tracheophyta,Equisetopsida,Myrtales,Onagraceae,Ludwigia,
CASSP,Casearia,genus,Plantae,Tracheophyta,Equisetopsida,Malpighiales,Salicaceae,Casearia,
HAEBRA,Haematoxylum brasiletto,species,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae,Haematoxylum,Haematoxylum brasiletto
RHYSP,Rhynchosia,genus,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae,Rhynchosia,
PRUPER,Prunus persica,species,Plantae,Tracheophyta,Equisetopsida,Rosales,Rosaceae,Prunus,Prunus persica
MELSP,Melampodium,genus,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,Melampodium,
VICSP,Vicia,genus,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae,Vicia,
CLESPE,Cleoserrata speciosa,species,Plantae,Tracheophyta,Equisetopsida,Brassicales,Cleomaceae,Cleoserrata,Cleoserrata speciosa
TIBSP,Tibouchina,genus,Plantae,Tracheophyta,Equisetopsida,Myrtales,Melastomataceae,Tibouchina,
SOLFAM,Solanaceae,family,Plantae,Tracheophyta,Equisetopsida,Solanales,Solanaceae,,
SONOLE,Sonchus oleraceus,species,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,Sonchus,Sonchus oleraceus
CLESP,Clematis,genus,Plantae,Tracheophyta,Equisetopsida,Ranunculales,Ranunculaceae,Clematis,
CLOSP,Cleome,genus,Plantae,Tracheophyta,Equisetopsida,Brassicales,Cleomaceae,Cleome,
XIMSP,Ximenia,genus,Plantae,Tracheophyta,Equisetopsida,Santalales,Olacaceae,Ximenia,
TINERE,Tinantia erecta,species,Plantae,Tracheophyta,Equisetopsida,Commelinales,Commelinaceae,Tinantia,Tinantia erecta
CRISP,Critoniopsis,genus,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,Critoniopsis,
SERSP,Serjania,genus,Plantae,Tracheophyta,Equisetopsida,Sapindales,Sapindaceae,Serjania,
POAFAM,Poaceae,family,Plantae,Tracheophyta,Equisetopsida,Poales,Poaceae,,
SIDACU,Sida acuta,species,Plantae,Tracheophyta,Equisetopsida,Malvales,Malvaceae,Sida,Sida acuta
MUNCAL,Muntingia calabura,species,Plantae,Tracheophyta,Equisetopsida,Malvales,Muntingiaceae,Muntingia,Muntingia calabura
COSCAU,Cosmos caudatus,species,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,Cosmos,Cosmos caudatus
CORSAT,Coriandrum sativum,species,Plantae,Tracheophyta,Equisetopsida,Apiales,Apiaceae,Coriandrum,Coriandrum sativum
ALLINT,Alloispermum integrifolium,species,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,Alloispermum,Alloispermum integrifolium
ELEIND,Eleusine indica,species,Plantae,Tracheophyta,Equisetopsida,Poales,Poaceae,Eleusine,Eleusine indica
DESSP,Desmodium,genus,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae,Desmodium,
STIRET,Stigmaphyllon retusum,species,Plantae,Tracheophyta,Equisetopsida,Malpighiales,Malpighiaceae,Stigmaphyllon,Stigmaphyllon retusum
ALTSP,Alternanthera,genus,Plantae,Tracheophyta,Equisetopsida,Caryophyllales,Amaranthaceae,Alternanthera,
CALTER,Calea ternifolia,species,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,Calea,Calea ternifolia
PAUSP,Paullinia,genus,Plantae,Tracheophyta,Equisetopsida,Sapindales,Sapindaceae,Paullinia,
TAGERE,Tagetes erecta,species,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,Tagetes,Tagetes erecta
CHRSP,Chromolaena,genus,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,Chromolaena,
CONSP,Conyza,genus,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,Conyza,
HEBSP,Hebeclinium,genus,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,Hebeclinium,
TAGSP,Tagetes,genus,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,Tagetes,
VERPAT,Vernonanthura patens,species,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,Vernonanthura,Vernonanthura patens
PACSP,Pachyrhizus,genus,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae,Pachyrhizus,
CLEOCC,Clethra occidentalis,species,Plantae,Tracheophyta,Equisetopsida,Ericales,Clethraceae,Clethra,Clethra occidentalis
VEROAX,Vernonanthura oaxacana,species,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,Vernonanthura,Vernonanthura oaxacana
BACSP,Baccharis,genus,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,Baccharis,
LOBLAX,Lobelia laxiflora,species,Plantae,Tracheophyta,Equisetopsida,Asterales,Campanulaceae,Lobelia,Lobelia laxiflora
POLSP,Polygala,genus,Plantae,Tracheophyta,Equisetopsida,Fabales,Polygalaceae,Polygala,
LASPL,Lasianthaea,genus,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,Lasianthaea,
IRELAT,Iresine latifolia,species,Plantae,Tracheophyta,Equisetopsida,Caryophyllales,Amaranthaceae,Iresine,Iresine latifolia
CLEHON,Clethra hondurensis,species,Plantae,Tracheophyta,Equisetopsida,Ericales,Clethraceae,Clethra,Clethra hondurensis
EUPPUL,Euphorbia pulcherrima,species,Plantae,Tracheophyta,Equisetopsida,Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia pulcherrima
GOMPIL,Gomphrena pilosa,species,Plantae,Tracheophyta,Equisetopsida,Caryophyllales,Amaranthaceae,Gomphrena,Gomphrena pilosa
HYMSP,Hymenostephium,genus,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,Hymenostephium,
ECHSP,Echeandia,genus,Plantae,Tracheophyta,Equisetopsida,Asparagales,Asparagaceae,Echeandia,
LIPSP,Lippia,genus,Plantae,Tracheophyta,Equisetopsida,Lamiales,Verbenaceae,Lippia,
SAPFAM,Sapindaceae,family,Plantae,Tracheophyta,Equisetopsida,Sapindales,Sapindaceae,,
SYMMOR,Symphyotrichum moranense,species,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,Symphyotrichum,Symphyotrichum moranense
TIGPAV,Tigridia pavonia,species,Plantae,Tracheophyta,Equisetopsida,Asparagales,Iridaceae,Tigridia,Tigridia pavonia
CUCFIC,Cucurbita ficifolia,species,Plantae,Tracheophyta,Equisetopsida,Cucurbitales,Cucurbitaceae,Cucurbita,Cucurbita ficifolia
CLEVIS,Cleome viscosa,species,Plantae,Tracheophyta,Equisetopsida,Brassicales,Cleomaceae,Cleome,Cleome viscosa
CITSIN,Citrus sinensis,species,Plantae,Tracheophyta,Equisetopsida,Sapindales,Rutaceae,Citrus,Citrus sinensis
PHYIXO,Physalis ixocarpa,species,Plantae,Tracheophyta,Equisetopsida,Solanales,Solanaceae,Physalis,Physalis ixocarpa
CITXAU,Citrus x aurantiifolia,species,Plantae,Tracheophyta,Equisetopsida,Sapindales,Rutaceae,Citrus,Citrus x aurantiifolia
CHRODO,Chromolaena odorata,species,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,Chromolaena,Chromolaena odorata
VERCOR,Vernonia cordata,species,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,Vernonia,Vernonia cordata
POLFAM,Polygalaceae,family,Plantae,Tracheophyta,Equisetopsida,Fabales,Polygalaceae,,
QUESP,Quercus,genus,Plantae,Tracheophyta,Equisetopsida,Fagales,Fagaceae,Quercus,
MIMPUD,Mimosa pudica,species,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae,Mimosa,Mimosa pudica
MALPUM,Malus pumila,species,Plantae,Tracheophyta,Equisetopsida,Rosales,Rosaceae,Malus,Malus pumila
PSISP,Psidium,genus,Plantae,Tracheophyta,Equisetopsida,Myrtales,Myrtaceae,Psidium,
SPOFAM,Sapotaceae,family,Plantae,Tracheophyta,Equisetopsida,Ericales,Sapotaceae,,
SOLTOR,Solanum torvum,species,Plantae,Tracheophyta,Equisetopsida,Solanales,Solanaceae,Solanum,Solanum torvum
SERMEX,Serjania mexicana,species,Plantae,Tracheophyta,Equisetopsida,Sapindales,Sapindaceae,Serjania,Serjania mexicana
ACAANG,Acaciella angustissima,species,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae,Acaciella,Acaciella angustissima
SONSP,Sonchus,genus,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,Sonchus,
BUNSP,Bunchosia,genus,Plantae,Tracheophyta,Equisetopsida,Malpighiales,Malpighiaceae,Bunchosia,
CITXLI,Citrus x limon,species,Plantae,Tracheophyta,Equisetopsida,Sapindales,Rutaceae,Citrus,Citrus x limon
BURSIM,Bursera simaruba,species,Plantae,Tracheophyta,Equisetopsida,Sapindales,Burseraceae,Bursera,Bursera simaruba
WALIND,Waltheria indica,species,Plantae,Tracheophyta,Equisetopsida,Malvales,Malvaceae,Waltheria,Waltheria indica
INGSP,Inga,genus,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae,Inga,
LEPSP,Lepidaploa,genus,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,Lepidaploa,
COFCAN,Coffea canephora,species,Plantae,Tracheophyta,Equisetopsida,Gentianales,Rubiaceae,Coffea,Coffea canephora
IREDIF,Iresine diffusa,species,Plantae,Tracheophyta,Equisetopsida,Caryophyllales,Amaranthaceae,Iresine,Iresine diffusa
CANIND,Canna indica,species,Plantae,Tracheophyta,Equisetopsida,Zingiberales,Cannaceae,Canna,Canna indica
ALLGLA,Allium glandulosum,species,Plantae,Tracheophyta,Equisetopsida,Asparagales,Amaryllidaceae,Allium,Allium glandulosum
RHAFAM,Rhamnaceae,family,Plantae,Tracheophyta,Equisetopsida,Rosales,Rhamnaceae,,
ODOCAL,Odontonema callistachyum,species,Plantae,Tracheophyta,Equisetopsida,Lamiales,Acanthaceae,Odontonema,Odontonema callistachyum
PLUSP,Pluchea,genus,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,Pluchea,
BUDSP,Buddleja,genus,Plantae,Tracheophyta,Equisetopsida,Lamiales,Scrophulariaceae,Buddleja,
URTFAM,Urticaceae,family,Plantae,Tracheophyta,Equisetopsida,Rosales,Urticaceae,,
ENTCYC,Enterolobium cyclocarpum,species,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae,Enterolobium,Enterolobium cyclocarpum
COMSP,Commelina,genus,Plantae,Tracheophyta,Equisetopsida,Commelinales,Commelinaceae,Commelina,
CAPANN,Capsicum annuum,species,Plantae,Tracheophyta,Equisetopsida,Solanales,Solanaceae,Capsicum,Capsicum annuum
ALLSP,Alloispermum,genus,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,Alloispermum,
AESSP,Aeschynomene,genus,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae,Aeschynomene,
SMASP,Smallanthus,genus,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,Smallanthus,
BEGHER,Begonia heracleifolia,species,Plantae,Tracheophyta,Equisetopsida,Cucurbitales,Begoniaceae,Begonia,Begonia heracleifolia
LONSP,Lonchocarpus,genus,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae,Lonchocarpus,
ERYSP,Erythrina,genus,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae,Erythrina,
AGECOR,Ageratum corymbosum,species,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,Ageratum,Ageratum corymbosum
MELFAM,Melastomataceae,family,Plantae,Tracheophyta,Equisetopsida,Myrtales,Melastomataceae,,
CITSP,Citrus,genus,Plantae,Tracheophyta,Equisetopsida,Sapindales,Rutaceae,Citrus,
CAPSP,Capsicum,genus,Plantae,Tracheophyta,Equisetopsida,Solanales,Solanaceae,Capsicum,
HAMSP,Hamelia,genus,Plantae,Tracheophyta,Equisetopsida,Gentianales,Rubiaceae,Hamelia,
APHSCA,Aphelandra scabra,species,Plantae,Tracheophyta,Equisetopsida,Lamiales,Acanthaceae,Aphelandra,Aphelandra scabra
SOLLYC,Solanum lycopersicum,species,Plantae,Tracheophyta,Equisetopsida,Solanales,Solanaceae,Solanum,Solanum lycopersicum
CARPAP,Carica papaya,species,Plantae,Tracheophyta,Equisetopsida,Brassicales,Caricaceae,Carica,Carica papaya
SECEDU,Sechium edule,species,Plantae,Tracheophyta,Equisetopsida,Cucurbitales,Cucurbitaceae,Sechium,Sechium edule
CYPSP,Cyperus,genus,Plantae,Tracheophyta,Equisetopsida,Poales,Cyperaceae,Cyperus,
GALSP,Galinsoga,genus,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,Galinsoga,
DICSP,Dichorisandra,genus,Plantae,Tracheophyta,Equisetopsida,Commelinales,Commelinaceae,Dichorisandra,
OPUFIC,Opuntia ficus-indica,species,Plantae,Tracheophyta,Equisetopsida,Caryophyllales,Cactaceae,Opuntia,Opuntia ficus-indica
CRTSP,Crotalaria,genus,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae,Crotalaria,
PISSAT,Pisum sativum,species,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae,Pisum,Pisum sativum
BURSP,Bursera,genus,Plantae,Tracheophyta,Equisetopsida,Sapindales,Burseraceae,Bursera,
TITDIV,Tithonia diversifolia,species,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,Tithonia,Tithonia diversifolia
