"llaveejemplar","location_id","parent_location_id","higher_geography_id","higher_geography","continent","waterbody","islandgroup","island","nombrepaismapa","country_code","state_province","county","municipality","locality","minimum_elevation_in_meters","maximum_elevation_in_meters","minimum_distance_above_surface_in_meters","maximum_distance_above_surface_in_meters","minimum_depth_in_meters","maximum_depth_in_meters","vertical_datum","location_according_to","location_remarks","accepted_georreference_id","accepted_georreference_context_id"
"8ddfda6bd12244e8b4e000bb242ab329","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[{""nombre"":""Sierra de Órganos"", ""tipo"":""Federal"", ""distancia"":""4.962 Kms""}], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","ZACATECAS","SOMBRERETE","","VILLA INSURGENTES","","","2160.0","","","","","Gacetero | INEGI, 2005","","",""
"8de004110b94cb6bf189a1cc3babe5cc","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","PUEBLA","TEPEYAHUALCO","","Izoteno","","","2340.0","","","","","Gacetero | INEGI, 2005","","",""
"8de1fbd4cc0a40b48671e8d82dddb8f0","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","OAXACA","SAN JUAN ATEPEC","","San Juan Atepec","","","2000.0","","","","","Gacetero | INEGI, 2005","","",""
"8de313200d53f0108d1ccb5bb2dc60db","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","JALISCO","AUTLAN DE NAVARRO","","Autlán de Navarro","","","900.0","","","","","Gacetero | INEGI, 2005","","",""
"8de5df01ced709532ac4eb4eb9201d71","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","CHIAPAS","VENUSTIANO CARRANZA","","Aguacatenango","","","1668.0","","","","","Gacetero","","",""
"8de8663769c68ae7b39d5de8d77ca6d3","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","ZACATECAS","VILLA HIDALGO","","Villa Hidalgo","","","2140.0","","","","","Gacetero","","",""
"8dedf8d474c17b8226696a85b2f713be","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","GUERRERO","TAXCO DE ALARCON","","Taxco","","","1750.0","","","","","Gacetero | INEGI, 2005","","",""
"8df1f01b5dddb2be0f9cf2dfcd60d8fa","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","OAXACA","SANTA CATARINA IXTEPEJI","","Yuvila","","","2400.0","","","","","Gacetero | INEGI, 2005","","",""
"8dfb4a19f16ab8bf7de01e22e9bc7fa9","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","CHIAPAS","OXCHUC","","El Cura","","","2000.0","","","","","Gacetero | INEGI, 2005","","",""
"8dfdbac5fbf6293c0571378229ace764","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","AGUASCALIENTES","AGUASCALIENTES","","Rancho Nuevo","","","2000.0","","","","","Gacetero | INEGI, 2005","","",""
"8dfe0223931e33b2ea48430f1c6e389b","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","MICHOACAN DE OCAMPO","TEPALCATEPEC","","Iztanzuela","","","500.0","","","","","Gacetero | INEGI, 2005","","",""
"8e002d4838bd12e96803018a2954659a","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[{""nombre"":""Cerro del Fortín"", ""tipo"":""Estatal"", ""distancia"":""2.612 Kms""}], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","OAXACA","SANTA LUCIA DEL CAMINO","","Ejido Santa María","","","1540.0","","","","","Gacetero | INEGI, 2005","","",""
"8e01bd695aa58f16cd509f081c6308cc","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","JALISCO","LAGOS DE MORENO","","Jaramillo de Abajo","","","1970.0","","","","","Gacetero | INEGI, 2005","","",""
"8e0294d2b611883a6ee611495d013728","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[{""nombre"":""Barrancas de los ríos Santiago y Verde"", ""tipo"":""Estatal"", ""distancia"":""0.645 Kms""}], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","JALISCO","JUANACATLAN","","Juanacatlán","","","1520.0","","","","","Gacetero | INEGI, 2005","","",""
"8e03d0c04b7810d573f30a96eb1a3e63","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","","","","","","","","","9999.0","","","","","","","",""
"8e07533833895a64b6680151e31e41ab","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","CHIHUAHUA","SAN FRANCISCO DE BORJA","","SAN FRANCISCO DE BORJA","","","1801.0","","","","","Gacetero | INEGI, 2005","","",""
"8e129878b185a9cc5800a9d09b7296ce","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","OAXACA","SAN BALTAZAR YATZACHI EL BAJO","","Hidalgo Yalalag","","","1250.0","","","","","Gacetero | INEGI, 2005","","",""
"8e15539ba968488dd1caa4679af79b2a","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","MORELOS","COATLAN DEL RIO","","COATLAN DEL RIO","","","1010.0","","","","","Gacetero | INEGI, 2005","","",""
