"2,123-geocoorddetails.geocoorddetail.text1",location_id,decimal_latitude,decimal_longitude,geodetic_datum,coordinate_uncertainty_in_meters,coordinate_precision,point_radius_spatial_fit,footprint_wkt,footprint_srs,footprint_spatial_fit,georeferenced_by,georeferenced_date,georeference_protocol,georeference_source,georeference_remarks,preferred_spatial_representation
,99657357-9255-499b-b15e-b5e00aab1e80,38.16888809,-99.13861084,WGS84,,,,,,,,,,Provided georef,,
,093855b5-7f48-4324-964e-d0a4f6f77723,53.8134995,-176.2953033,WGS84,,,,,,,,,,GEOLocate,,
,c5c3b786-dec2-45aa-a603-53653d3d1ed6,43.270828,-89.721939,WGS84,,,,,,,,,,GEOLocate,,
,7049f444-9df2-4677-9780-75eefbf1e1f6,38.365686,-96.47757,WGS84,,,,,,,,,,GEOLocate,,
,9d20f326-253c-4109-95c6-9c12f7b615d0,26.5249996,86.9332962,WGS84,,,,,,,,,,GEOLocate,,
,b401879e-5d3c-458e-aa68-9715a81aaf12,28.883333,-117.956667,WGS84,,,,,,,,,,GEOLocate,,
,70311b49-8028-415e-b8e1-003cc31ce963,29.88333,-80.18333,WGS84,,,,,,,,,,GEOLocate,,
,c432940b-f155-41be-822f-aa31dc698bfb,29.3981,-100.0006,WGS84,,,,,,,,,,GEOLocate,,
,d58464d4-58ca-45ed-9b0f-84eda1d5949b,37.13333,-68.23333,WGS84,,,,,,,,,,GEOLocate,,
,cf6a80ac-c735-4e0e-ae66-dda165ecdcc8,-12.578053,-69.06729,WGS84,,,,,,,,,,GEOLocate,,
,42cfcb00-0c6a-4344-8ebb-9b0308ff73ed,37.755065,-90.884609,WGS84,,,,,,,,,,GEOLocate,,
,e555a448-69aa-4ac4-beda-03c3cc414650,35.59410095,-95.03269959,WGS84,,,,,,,,,,GEOLocate,,
,018c050a-33b9-4a5d-ba85-cea3426bb772,39.1211913,-96.027853,WGS84,,,,,,,,,,GEOLocate,,
,3d9cd46e-b9de-4379-868c-a880b2278d8a,37.176564,-95.10096,WGS84,,,,,,,,,,GEOLocate,,
,84d5c63d-3729-4b81-8ba7-cada198ddaa1,43.72075653,-96.19016266,WGS84,,,,,,,,,,GEOLocate,,
,aea201bf-ab5f-413a-971c-294cf8644981,37.4286111,-98.9191667,WGS84,,,,,,,,,,GEOLocate,,
,d91128bf-0eac-4786-a63e-72ae498119aa,31.144515,-89.241876,WGS84,,,,,,,,,,GEOLocate,,
,4f05b514-3ac4-4e2d-ac89-00afff4be57d,40.94534,-83.30842,WGS84,,,,,,,,,,GEOLocate,,
,a8de39de-4836-4cec-b875-2e1e0a1078d4,38.8668333,-95.3448,WGS84,,,,,,,,,,GEOLocate,,
,84d73f4f-ed08-4232-a45c-9e03ec741442,65.830276,-144.075562,WGS84,,,,,,,,,,GEOLocate,,
,a8095c54-734d-494d-8c3d-9f84ecb26311,33.922218,-86.807721,WGS84,,,,,,,,,,GEOLocate,,
,29d8ac5b-3103-4d60-a110-223ea5def797,51.3109016,-179.341507,WGS84,,,,,,,,,,GEOLocate,,
,43725543-507b-4afd-b252-564b05186025,38.1082992,-74.9300003,WGS84,,,,,,,,,,GEOLocate,,
,249bb0b8-7d51-4186-b736-3a2e4725cace,33.25666809,-118.4749985,WGS84,,,,,,,,,,Provided georef,,
,5cb1c1e9-44f0-42ec-a1b3-09932dfd1056,33.84313,-98.545,WGS84,,,,,,,,,,GEOLocate,,
,58ffc0de-8743-4958-8e91-35cbb0afae0d,59.8689995,-145.137207,WGS84,,,,,,,,,,GEOLocate,,
,33dd088a-a8bb-4ce4-8235-8eb9255b9ab5,18.1452778,-65.3052778,WGS84,,,,,,,,,,GEOLocate,,
,01682d6c-b027-4b1b-9893-1dfacb581a45,7,-55.7165985,WGS84,,,,,,,,,,GEOLocate,,
,a4dd668e-a6e5-4550-ab1e-01e7716d9826,41.5565,-94.0126,WGS84,,,,,,,,,,GEOLocate,,
,72505365-7c14-4180-ad76-6cc4b26d25c9,-18.1731667,178.4215,WGS84,,,,,,,,,,GEOLocate,,
,b1639f54-c34f-40dd-94af-df78d5eb8ce3,39.6506,-70.2161,WGS84,,,,,,,,,,GEOLocate,,
414b2758-a0b8-11ed-803c-6c2b597b15e2,470d736c-c1fb-4065-bf8a-185cd13aa35d,-16.95764,-65.31509,WGS84,894,,,,,,"Bentley, Andrew C",9/20/2013,,GEOLocate,,
,b44730ae-2042-4573-af62-734992c22335,35.3985,-94.6747,WGS84,,,,,,,,,,GEOLocate,,
,99e32b8c-7aff-41b2-8e8f-90709d06dab3,34.8741,-94.5271,WGS84,,,,,,,,,,GEOLocate,,
,64b84a33-7f53-43a1-952b-978a89e3ab9b,31.3209,-90.9836,WGS84,,,,,,,,,,GEOLocate,,
,be368607-2266-44e9-aa1d-f862d8337f6e,38.196664,-96.823984,WGS84,,,,,,,,,,GEOLocate,,
,68a034fe-b623-46d7-b2fe-0d93d0182e11,38.28984,-97.61,WGS84,,,,,,,,,,Provided georef,,
41509a0c-a0b8-11ed-803c-6c2b597b15e2,85d6151a-8890-4e6b-9776-64960301f39a,14.541778,-91.573422,WGS84,90,,,,,,"Roberson, Megan ",,,GEOLocate,,
,84e665bd-b178-4e44-8c14-44b818fb5278,28.8833,-115.8833,WGS84,,,,,,,,,,GEOLocate,,
,f9187297-c486-4e4d-9b12-800d13f3c9b7,34.6578,-84.5181,WGS84,,,,,,,,,,GEOLocate,,
,7378401e-5b06-4f43-87a5-edfd09c60c16,38.976126,-95.2339,WGS84,,,,,,,,,,GEOLocate,,
,c6925a0e-6bd0-4544-bf5c-d8007c9c50d5,38.46277618,-99.24194336,WGS84,,,,,,,,,,Provided georef,,
,6772a178-9b75-49f8-8bc2-9f749ab26eda,38.29499817,-99.22138977,WGS84,,,,,,,,,,Provided georef,,
,380e8537-f47f-43e9-96b5-edb577089fd9,37.67194366,-97.76055908,WGS84,,,,,,,,,,Provided georef,,
,bd42dc4b-d26c-4e8b-aac5-31b6d5a3d93f,34.2532997,-119.5514984,WGS84,,,,,,,,,,GEOLocate,,
,cfcf79c2-2550-41f3-9d22-05c3d01a27d5,26.056,-97.1358333,WGS84,,,,,,,,,,GEOLocate,,
,a41a40e2-446a-4bbc-bfcc-2c9a9f174b40,37.42273331,-92.14736938,WGS84,,,,,,,,,,GEOLocate,,
,967c5592-3f69-4c3a-980e-8d80e6d1b70e,35.49871,-87.8275,WGS84,,,,,,,,,,GEOLocate,,
,fdf43312-9b36-4303-84d1-fa074f52ca1c,27.44800556,83.91985,WGS84,,,,,,,,,,Provided georef,,
,babbe728-0676-4486-9105-3ac91cccf4f6,39.9725,-96.5425,WGS84,,,,,,,,,,Provided georef,,
,427a3589-b5c5-43c3-aff2-62ebe2ee18e5,52.3349991,-176.3647003,WGS84,,,,,,,,,,GEOLocate,,
,025c238c-878e-45e1-8d3d-a4bedb7dd6b9,33.9343,-94.7097,WGS84,,,,,,,,,,GEOLocate,,
,d965440e-6f1b-400d-8551-bbce469d140d,35.6147995,-121.1847992,WGS84,,,,,,,,,,GEOLocate,,
,f0f3ef3b-d8e7-40e3-81db-252febab2d9a,,,WGS84,,,,,,,,,,,,
,0023b2be-095b-4697-8cfe-b649aad69baf,39.1867149,-96.5281395,WGS84,,,,,,,,,,GEOLocate,,
,f53d074f-80a8-4a49-91d6-2de4c7f4a68c,39.45138889,-96.01611111,WGS84,,,,,,,,,,Provided georef,,
,f1ebd4fd-dbf2-489c-91c5-4f24fb4c303d,36.5711111,-96.1438889,WGS84,,,,,,,,,,GEOLocate,,
