4.taxon.guid,4.taxon.fullName,4.taxon.author,4.taxon.rankId,4.taxon.source
91b9a0ec-9e58-11ed-803c-6c2b597b15e2,Gadidae,,140,Nelson 1984
91b9a1d8-9e58-11ed-803c-6c2b597b15e2,Ariidae,,140,Nelson 1984
91b9a2c0-9e58-11ed-803c-6c2b597b15e2,Muraenidae,,140,Nelson 1984
91b9a3a7-9e58-11ed-803c-6c2b597b15e2,Mugilidae,,140,Nelson 1984
91b9a48f-9e58-11ed-803c-6c2b597b15e2,Diceratiidae,,140,Nelson 1984
91b9a576-9e58-11ed-803c-6c2b597b15e2,Pataecidae,,140,Nelson 1984
91b9a65a-9e58-11ed-803c-6c2b597b15e2,Mastacembelidae,,140,Nelson 1984
91b9a9ce-9e58-11ed-803c-6c2b597b15e2,Myctophidae,,140,Nelson 1984
91b9aaec-9e58-11ed-803c-6c2b597b15e2,Nototheniidae,,140,Nelson 1984
91b9abdc-9e58-11ed-803c-6c2b597b15e2,Lutjanidae,,140,Nelson 1984
91b9acc9-9e58-11ed-803c-6c2b597b15e2,Myliobatidae,,140,Nelson 1984
91b9adb2-9e58-11ed-803c-6c2b597b15e2,Gymnuridae,,140,Nelson 1984
91b9ae9b-9e58-11ed-803c-6c2b597b15e2,Nandidae,,140,Nelson 1984
91b9af81-9e58-11ed-803c-6c2b597b15e2,Sciaenidae,,140,Nelson 1984
91b9b068-9e58-11ed-803c-6c2b597b15e2,Galaxiidae,,140,Nelson 1984
91b9b152-9e58-11ed-803c-6c2b597b15e2,Ageneiosidae,,140,Nelson 1984
91b9b23e-9e58-11ed-803c-6c2b597b15e2,Kyphosidae,,140,Nelson 1984
91b9b326-9e58-11ed-803c-6c2b597b15e2,Sisoridae,,140,Nelson 1984
91b9b40a-9e58-11ed-803c-6c2b597b15e2,Aspredinidae,,140,Nelson 1984
91b9b4f1-9e58-11ed-803c-6c2b597b15e2,Petromyzontidae,,140,Nelson 1984
91b9b5d8-9e58-11ed-803c-6c2b597b15e2,Uranoscopidae,,140,Nelson 1984
91b9b6c2-9e58-11ed-803c-6c2b597b15e2,Sphyraenidae,,140,Nelson 1984
91b9b7b2-9e58-11ed-803c-6c2b597b15e2,Congiopodidae,,140,Nelson 1984
91b9b89d-9e58-11ed-803c-6c2b597b15e2,Regalecidae,,140,Nelson 1984
91b9b985-9e58-11ed-803c-6c2b597b15e2,Notosudidae,,140,Nelson 1984
91b9bc8d-9e58-11ed-803c-6c2b597b15e2,Zoarcidae,,140,Nelson 1984
91b9bd7e-9e58-11ed-803c-6c2b597b15e2,Melanotaeniidae,,140,Nelson 1984
91b9be65-9e58-11ed-803c-6c2b597b15e2,Schilbeidae,,140,Nelson 1984
91b9bf4e-9e58-11ed-803c-6c2b597b15e2,Microdesmidae,,140,Nelson 1984
91b9c036-9e58-11ed-803c-6c2b597b15e2,Tetraodontidae,,140,Nelson 1984
91b9c120-9e58-11ed-803c-6c2b597b15e2,Clupeidae,,140,Nelson 1984
91b9c24d-9e58-11ed-803c-6c2b597b15e2,Albulidae,,140,Nelson 1984
91b9c345-9e58-11ed-803c-6c2b597b15e2,Alepocephalidae,,140,Nelson 1984
91b9c432-9e58-11ed-803c-6c2b597b15e2,Serrivomeridae,,140,Nelson 1984
91b9c523-9e58-11ed-803c-6c2b597b15e2,Halosauridae,,140,Nelson 1984
91b9c60e-9e58-11ed-803c-6c2b597b15e2,Nomeidae,,140,Nelson 1984
91b9c6f8-9e58-11ed-803c-6c2b597b15e2,Alepisauridae,,140,Nelson 1984
91b9c7e4-9e58-11ed-803c-6c2b597b15e2,Aphyonidae,,140,Nelson 1984
91b9cd84-9e58-11ed-803c-6c2b597b15e2,Eleotridae,,140,Nelson 1984
91b9ce80-9e58-11ed-803c-6c2b597b15e2,Clariidae,,140,Nelson 1984
91b9cf68-9e58-11ed-803c-6c2b597b15e2,Oreosomatidae,,140,Nelson 1984
91b9d053-9e58-11ed-803c-6c2b597b15e2,Goodeidae,,140,Nelson 1984
91b9d13e-9e58-11ed-803c-6c2b597b15e2,Elopidae,,140,Nelson 1984
91b9d227-9e58-11ed-803c-6c2b597b15e2,Xenisthmidae,,140,Nelson 1984
91b9d6ce-9e58-11ed-803c-6c2b597b15e2,Triakidae,,140,Nelson 1984
91b9d7b6-9e58-11ed-803c-6c2b597b15e2,Diodontidae,,140,Nelson 1984
91b9d8c6-9e58-11ed-803c-6c2b597b15e2,Pholidae,,140,Nelson 1984
91b9d9b0-9e58-11ed-803c-6c2b597b15e2,Osmeridae,,140,Nelson 1984
91b9dfa3-9e58-11ed-803c-6c2b597b15e2,Synodontidae,,140,Nelson 1984
91b9e08d-9e58-11ed-803c-6c2b597b15e2,Alopiidae,,140,Nelson 1984
91b9e16f-9e58-11ed-803c-6c2b597b15e2,Carcharhinidae,,140,Nelson 1984
91b9e5c3-9e58-11ed-803c-6c2b597b15e2,Rajidae,,140,Nelson 1984
91b9e6fd-9e58-11ed-803c-6c2b597b15e2,Scyliorhinidae,,140,Nelson 1984
91b9e858-9e58-11ed-803c-6c2b597b15e2,Cyprinodontidae,,140,Nelson 1984
91b9ed49-9e58-11ed-803c-6c2b597b15e2,Thaumatichthyidae,,140,Nelson 1984
91b9ee78-9e58-11ed-803c-6c2b597b15e2,Bagridae,,140,Nelson 1984
91b9f30a-9e58-11ed-803c-6c2b597b15e2,Amarsipidae,,140,Nelson 1984
91b9f45f-9e58-11ed-803c-6c2b597b15e2,Engraulidae,,140,Nelson 1984
91b9f93e-9e58-11ed-803c-6c2b597b15e2,Amblycipitidae,,140,Nelson 1984
91b9fdd4-9e58-11ed-803c-6c2b597b15e2,Amblyopsidae,,140,Nelson 1984
91ba0264-9e58-11ed-803c-6c2b597b15e2,Bramidae,,140,Nelson 1984
91ba0bb1-9e58-11ed-803c-6c2b597b15e2,Ictaluridae,,140,Nelson 1984
91ba0cb7-9e58-11ed-803c-6c2b597b15e2,Amiidae,,140,Nelson 1984
91ba0da0-9e58-11ed-803c-6c2b597b15e2,Ammodytidae,,140,Nelson 1984
91ba0e9d-9e58-11ed-803c-6c2b597b15e2,Terapontidae,,140,Nelson 1984
91ba0f8c-9e58-11ed-803c-6c2b597b15e2,Callionymidae,,140,Nelson 1984
91ba1072-9e58-11ed-803c-6c2b597b15e2,Siganidae,,140,Nelson 1984
91ba115c-9e58-11ed-803c-6c2b597b15e2,Batrachoididae,,140,Nelson 1984
91ba1245-9e58-11ed-803c-6c2b597b15e2,Amphiliidae,,140,Nelson 1984
91ba132c-9e58-11ed-803c-6c2b597b15e2,Hiodontidae,,140,Nelson 1984
91ba1422-9e58-11ed-803c-6c2b597b15e2,Synbranchidae,,140,Nelson 1984
91ba150c-9e58-11ed-803c-6c2b597b15e2,Caracanthidae,,140,Nelson 1984
91ba15f3-9e58-11ed-803c-6c2b597b15e2,Dasyatidae,,140,Nelson 1984
91ba16de-9e58-11ed-803c-6c2b597b15e2,Anabantidae,,140,Nelson 1984
91ba17c6-9e58-11ed-803c-6c2b597b15e2,Anablepidae,,140,Nelson 1984
91ba18ae-9e58-11ed-803c-6c2b597b15e2,Acanthobatididae,,140,Nelson 1984
91ba199e-9e58-11ed-803c-6c2b597b15e2,Platyrhinidae,,140,Nelson 1984
91ba1a8d-9e58-11ed-803c-6c2b597b15e2,Anarhichadidae,,140,Nelson 1984
91ba1b77-9e58-11ed-803c-6c2b597b15e2,Haemulidae,,140,Nelson 1984
91ba1c5f-9e58-11ed-803c-6c2b597b15e2,Paralichthyidae,,140,Nelson 1984
91ba1d47-9e58-11ed-803c-6c2b597b15e2,Nemipteridae,,140,Nelson 1984
91ba1e2f-9e58-11ed-803c-6c2b597b15e2,Kneriidae,,140,Nelson 1984
91ba1f15-9e58-11ed-803c-6c2b597b15e2,Anguillidae,,140,Nelson 1984
91ba1ffa-9e58-11ed-803c-6c2b597b15e2,Moringuidae,,140,Nelson 1984
91ba20e2-9e58-11ed-803c-6c2b597b15e2,Hemiodontidae,,140,Nelson 1984
91ba21cd-9e58-11ed-803c-6c2b597b15e2,Pseudochromidae,,140,Nelson 1984
91ba22b7-9e58-11ed-803c-6c2b597b15e2,Balitoridae,,140,
91ba23a0-9e58-11ed-803c-6c2b597b15e2,Plotosidae,,140,Nelson 1984
91ba2486-9e58-11ed-803c-6c2b597b15e2,Ateleopodidae,,140,Nelson 1984
91ba256e-9e58-11ed-803c-6c2b597b15e2,Anomalopidae,,140,Nelson 1984
91ba2654-9e58-11ed-803c-6c2b597b15e2,Anoplogastridae,,140,Nelson 1984
91ba273d-9e58-11ed-803c-6c2b597b15e2,Anoplopomatidae,,140,Nelson 1984
91ba286f-9e58-11ed-803c-6c2b597b15e2,Banjosidae,,140,Nelson 1984
91ba29b4-9e58-11ed-803c-6c2b597b15e2,Myxinidae,,140,Nelson 1984
91ba2ade-9e58-11ed-803c-6c2b597b15e2,Belontiidae,,140,Nelson 1984
