"georreference_id"	"location_id"	"decimal_latitude"	"decimal_longitude"	"geodetic_datum"	"coordinate_uncertainty_in_meters"	"coordinate_precision"	"point_radius_spacial_fit"	"footprint_wkt"	"footprint_srs"	"footprint_spatial_fit"	"georreferenced_by"	"georreference_date"	"georreference_protocol"	"georreference_sources"	"georreference_remarks"	"preferred_spatial_representation"
"547acbd7221aba768bade1768b9bfb11"	a637181e944cdcf8af5a0e9668d877e6	22.3883297	-103.72889	WGS84	70.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"439342c6b785c257a469919185f84313"	"54e166347d6e6ddecfdea642be08f0f2"	16.2977797	-92.25861	WGS84	100.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"106e999b9d16f2d5a9c583259ec46790"	aefcb45e52c9d204845f6a6b839c1e7b	22.26478	-102.25269	WGS84	70.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"49377108b24a00466778ca077be90fbc"	"5deb4862f1f33eb3ba11b38f1e3e7d55"	16.7763897	-92.3233297	WGS84	90.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"65e5337f7293223f2a40ff5a81cff4b5"	dacab46aff815746b226d1f40dd9c5c6	19.85472	-98.7458297	WGS84	80.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"88a88d15834c968a118b18d13c416704"	"167d547d9cff790f4d0fc6afedf66f4f"	18.8941697	-97.39417	WGS84	90.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"05d50e5d68ea8d1ea2871fa8aaaeb0b7"	"6e0aa376c5ab9e3fca64d563b11c13cf"	19.3727797	-97.3472197	WGS84	80.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"0ba9fe4dae83fd39ccd9ed57251e70b5"	"24ae73f8ae0a65927d178943873acd46"	16.86389	-96.38194	WGS84	100.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
a059cad61e36b207e2012f9ede698982	"70eb6f9a4709d14c4469b02057b2ae95"	16.8158297	-92.37111	WGS84	90.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"0d07cb2c8259e4d112312a37e3dd960e"	"93c924ee79368fb1e37efdded9f0d032"	15.455	-92.1580555	WGS84	100.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"178fb3137f52937687c5bc05fa532d1d"	"4b52ef73eeacf90c9702dfbb239d2ece"	19.3113888	-97.9233333	WGS84	80.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
fa1c1a377919c5079fc7d1719a467e74	"1062d86493139cfb6048de96fc0661cd"	22.37167	-100.64444	WGS84	70.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"9d3ae48f19afcc4236d4c909d773cb4f"	"7bb5e5ae158031b7f9a8a77417f3092f"	28.9788897	-109.39833	WGS84	60.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"92dad7222ee13f8960d5217696626238"	d7ae1ec6db61c264b246656004937b2f	18.9991666	-98.9438888	WGS84	90.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
c7f260cf8a9cbdcca02ce6a56ebaf303	e8a9926f5b50b134f163ad0643b0e7d7	19.1455991	-100.3387908	WGS84	90.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"8d57492fb2fc995459c6b433f4e5d6ef"	"39096a8a6935d09259517d1a8623047c"	21.79972	-98.45694	WGS84	70.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
a5115020b1f20982ec7b546257a59573	"6561081f7ce97f54ccb7c3d89f86a612"	16.1580597	-92.1041697	WGS84	100.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"5ea5eb2505b5ce224bc1be07cef2a4b5"	f844e1df3b6b1c16e6f863ab5f893fed	21.41806	-98.23417	WGS84	70.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
