"taxon_id","identification_id","taxon_order","taxon_authority"
a7015218bc0860fe4c8840a390695add,"70e68b754337c016091f748bca3aaf23","","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
"47155761a1d0257d65a36d7863c886fb",be2ae35a3e6dbf534f0938419a1a5908,"","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
"63d66b8004dc57a87a53c30b204260ec","3fb3c85c2998458f2c98a8315343c3e7","","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
"71a3c27cdd182ea9d1322207e6e9ad5a",e213bfac5f67e5b48f3af54785c249db,"","L., 1753"
"407215cd7434c5461a0e8fab337375eb",c1abab6620caabfbab19501ca815e349,"","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
a7015218bc0860fe4c8840a390695add,"3db706c76314732b5a759dd1c5795a50","","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
"401e0a8aaeb91d13c250a02035e13eb2",ec7bbc8fdaf683d17700fa57e7c14fd2,"","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
"71a3c27cdd182ea9d1322207e6e9ad5a",c9808571970f8bfa40d771a176dad3e2,"","L., 1753"
"47155761a1d0257d65a36d7863c886fb","897b7bf74467e93d85ee0daf92ae0031","","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
"63d66b8004dc57a87a53c30b204260ec",b018f0a65c8bd094f099d25c57621426,"","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
fb4fb44f1c9a8bb0def8afba83e1192b,b90ffaf0d1fd42615c6051b676e35064,"","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
ebecc48395374835a349fd28ca7295a0,ab433406fffeda316526aa92b7f05c1c,"","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
"71a3c27cdd182ea9d1322207e6e9ad5a",aaa33c5fd4bfdb4c1dc14ef6cc5e96bf,"","L., 1753"
"401e0a8aaeb91d13c250a02035e13eb2","9e943e616b3715fe56b77271b1b175f4","","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
"6795558b0cd61d7b9c3f0aa7598d12eb",e1b92239f0348367249bb589c53ffb82,"","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
"401e0a8aaeb91d13c250a02035e13eb2","2fca8a6476331c7a79f9b950ca3dbd91","","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
e55e8be3139900e439906ae0029c416a,"2031a85cdc90bbcf013b77628c9a9dab","","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
fb4fb44f1c9a8bb0def8afba83e1192b,"99ac70d56db1cd57b7b2d08a30fa482b","","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
"71a3c27cdd182ea9d1322207e6e9ad5a","12f77c89bccde38b6982fb6ee1c2b7c6","","L., 1753"
"71a3c27cdd182ea9d1322207e6e9ad5a",a0827073d3694d522077c1a9ce96df91,"","L., 1753"
e55e8be3139900e439906ae0029c416a,"10b1cdf909af653e70b3fc1a88ca68be","","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
fb4fb44f1c9a8bb0def8afba83e1192b,edf3b5883efb6fcc54e83cd277f91cb3,"","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
"1a284bf58a410fc06cc93cd6cd6d7846","15b4a74ae0f90eef5c8f932b8fd1b95c","","R. Ortega, 1979"
"63d66b8004dc57a87a53c30b204260ec","7e4f82d2ecb59b79f870890ff598b963","","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
"87cbad861028c339bcf4011bfacf3760","280063322cf164c6d0cdf56c0fec29f9","","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
aca5cef887a535f79cd6c85d96ecb4cd,"0bd2317d29fa2ba79d070cc3e625bf65","","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
"63d66b8004dc57a87a53c30b204260ec",ff221e4ce509a839568f4bb57420cee9,"","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
"71a3c27cdd182ea9d1322207e6e9ad5a","06ae4d0990d0bedeeeb6a90a2d15604a","","L., 1753"
"0ba4c0b10277e0b8b8a8afcb24bc4fa5",f21b3ea077c2d6f7dbd1463a3a7b1f99,"","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
bb976ba17d78fbf2f93031e8f9a019d5,"6de3d18a1c7e38e983bd9fe02dce406c","","R. Ortega, 1979"
c445fd22edcc5ca815b79cb9b763e58e,"5e06246bb4ba718281492bd4876c75fa","","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
"71a3c27cdd182ea9d1322207e6e9ad5a",ba2a5093a3bedf6eff7dff51794377cd,"","L., 1753"
d950c5d219c9308eff9562992a080168,"11f3c453e6adf3632e9567e9e3c7ae98","","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
b4e29a15f4a5c6871e103d889c7baa32,"9fbcbba1f57014acafb6b2e1f6541b4a","",""
"71a3c27cdd182ea9d1322207e6e9ad5a","1662d4607094ad2f89b3543f29d0c286","","L., 1753"
a7015218bc0860fe4c8840a390695add,d5bf69bae564c1d97c80fdeaf68b0742,"","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
d950c5d219c9308eff9562992a080168,"0c07ce46718cbbfa293d1ab466d04ef2","","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
ebecc48395374835a349fd28ca7295a0,"32d255983985c112761584675cf108e6","","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
d950c5d219c9308eff9562992a080168,"4506c6c9bd04f2853bfbb34e50f6fc89","","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
"71a3c27cdd182ea9d1322207e6e9ad5a",b14da89dd813ccc9eb028c2767df6cd7,"","L., 1753"
"6717584b257ca851aa64e5ef4768ccd1","76d323d1abcbb0532e298800c9bcb890","","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
"63d66b8004dc57a87a53c30b204260ec","7bdc040081b6fe39f310c0cd1b2f2270","","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
"63d66b8004dc57a87a53c30b204260ec",e98ba2c45d53da6cc2e99982eefb0311,"","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
"1816765536f0bc786eb1c4e76e06176d","8aa098e611daa2ebe9557cf8a14a4412","","B.F. Benz, 1986"
"63d66b8004dc57a87a53c30b204260ec",a1b61211f69c34f26ab32ba3eabf4d2d,"","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
a7015218bc0860fe4c8840a390695add,"55dd7b97fe1eda0905c713a8cccfc667","","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
"63d66b8004dc57a87a53c30b204260ec","494f5c3606106cfbc5a5025b98a16a4f","","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
"63d66b8004dc57a87a53c30b204260ec",b9e1c9e97c0099e4ed730b81f4a43208,"","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
"63d66b8004dc57a87a53c30b204260ec","64e0588f302f5652aaa583e9e2e2f3aa","","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
