citation_target_id	citation_target_type	citation_reference_id	citation_type	citation_page_number	citation_remarks
dcc212ea57fd2c34f3f3d7562d4ce48e4c18ee90	PROTOCOL	50d2c3c883d94633111d30a9e13e982731665ed9	OTHER		
1c110a9bae6b415c42766b322998bb1aa3afe006	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
1c110a9bae6b415c42766b322998bb1aa3afe006	PROTOCOL	a46fa03823cabbd5ffc58e33090cf8acf91f46f8	OTHER		
34d4f84d3046526ea6163f05287e9077f5e42d75	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
34d4f84d3046526ea6163f05287e9077f5e42d75	PROTOCOL	ef709e5dd932c1fe7cf96217197ce3c195833dc3	OTHER		
fc967da4e81bc5cf3b305356ff8dd08674b382dc	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
fc967da4e81bc5cf3b305356ff8dd08674b382dc	PROTOCOL	b1189402042ce96d7f0d8f45cf72460fdd2a1c8f	OTHER		
b114c169fcd5683109ef0763fa91601958cc03b3	PROTOCOL	373db5500b309f52c5a3dc5c391b89b1a424ab14	OTHER		
b114c169fcd5683109ef0763fa91601958cc03b3	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
f7deaa51c3f2f7f1867044bf66ff922f09981753	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
f7deaa51c3f2f7f1867044bf66ff922f09981753	PROTOCOL	ea43ffdc595ccf3c07a343ec4d3bf47df2ff2896	OTHER		
aa34a539568b4c14987a979f92255fe0079dca0e	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
aa34a539568b4c14987a979f92255fe0079dca0e	PROTOCOL	8cc180617131b14aee4ca0740b6959bcc3afc126	OTHER		
9844ab38a837b3dd6f776b4d701267d30c327d2f	PROTOCOL	4420fadd5a6fc3706dc99992c605505fde65a19b	OTHER		
9844ab38a837b3dd6f776b4d701267d30c327d2f	PROTOCOL	a47f7e600b16fcb32d011eaba2cfabf76f9869f2	OTHER		
428df98a8732d657e97dab9cde39b2f3e5f4a12f	PROTOCOL	f62a5181290a24080a61f3e57671c5061bd9480b	OTHER		
428df98a8732d657e97dab9cde39b2f3e5f4a12f	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
ab1cbde23833576a854145ec6be2f67714271f5c	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
ab1cbde23833576a854145ec6be2f67714271f5c	PROTOCOL	f6145f077cc6f46f1b146ab48798fe076fe18be8	OTHER		
5bef8f02bf5267bae40a1ab8cc6c5b3a27c9eae0	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
5bef8f02bf5267bae40a1ab8cc6c5b3a27c9eae0	PROTOCOL	2b95caa4dfb5f63436f29e0748ef7790095b1f32	OTHER		
52a69f155be67d247d74048add5156c4f7a27bdc	PROTOCOL	186a0a34263771f8526a31f7cdad7c61dcab6108	OTHER		
52a69f155be67d247d74048add5156c4f7a27bdc	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
a46a17c66088ca46e8f2571a4926cb855d54be87	PROTOCOL	ca36fa4b6d1373ff7611b2013fe82d7686022227	OTHER		
a46a17c66088ca46e8f2571a4926cb855d54be87	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
3758966adc2ef59966ef529236104d18e414e84c	PROTOCOL	5c1a311cc3f009e7ce4165c3b9e7c4df67c7d451	OTHER		
3758966adc2ef59966ef529236104d18e414e84c	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
424e6680d889b2ba4245a90503cc4aa6eeabd3d5	PROTOCOL	50d2c3c883d94633111d30a9e13e982731665ed9	OTHER		
424e6680d889b2ba4245a90503cc4aa6eeabd3d5	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
18803fdce519922f0bb5b94531e017df9980b760	PROTOCOL	a46fa03823cabbd5ffc58e33090cf8acf91f46f8	OTHER		
18803fdce519922f0bb5b94531e017df9980b760	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
5d579310515efde8bebefd29757d2065923d881a	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
5d579310515efde8bebefd29757d2065923d881a	PROTOCOL	ef709e5dd932c1fe7cf96217197ce3c195833dc3	OTHER		
51a761093ce70743d79057f4fd11db01aec4a46d	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
51a761093ce70743d79057f4fd11db01aec4a46d	PROTOCOL	b1189402042ce96d7f0d8f45cf72460fdd2a1c8f	OTHER		
2c16c9aaf2b90934eb2aaa7b43039e8ba6ada430	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
2c16c9aaf2b90934eb2aaa7b43039e8ba6ada430	PROTOCOL	373db5500b309f52c5a3dc5c391b89b1a424ab14	OTHER		
adb85e527a0722d5e1237fab872f4fddb3390326	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
adb85e527a0722d5e1237fab872f4fddb3390326	PROTOCOL	ea43ffdc595ccf3c07a343ec4d3bf47df2ff2896	OTHER		
0ae724ec403a58e638ea042de099467d22616322	PROTOCOL	8cc180617131b14aee4ca0740b6959bcc3afc126	OTHER		
0ae724ec403a58e638ea042de099467d22616322	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
0d46fb6d5973dcff936e3b6ebdecc4d23c463aad	PROTOCOL	4420fadd5a6fc3706dc99992c605505fde65a19b	OTHER		
0d46fb6d5973dcff936e3b6ebdecc4d23c463aad	PROTOCOL	a47f7e600b16fcb32d011eaba2cfabf76f9869f2	OTHER		
