"taxon_id","scientific_name","scientific_name_authorship","name_according_to","taxon_rank","taxon_source","scientific_name_id","taxon_remarks","parent_taxon_id","taxonomic_status","kingdom","phylum","class","_order","family","subfamily","genus","subgenus","accepted_scientific_name","taxon_rank_infraespecificEpithet","infraespecificEpithet","taxon_rank_sub_infraespecificEpithet","subinfraespecificEpithet"
"63066f11c7d9d90ee651cd23ebf64543",Tripsacum jalapense ,"de Wet & Brink, 1983","Dávila, Mejía-Saulés, Soriano-Martínez & Herrera-Arrieta, 2018",especie,"","39714ANGIO","","",aceptado,Plantae,Tracheophyta,Equisetopsida,Poales,Poaceae,Panicoideae,Tripsacum,"",Tripsacum jalapense ,"","","",""
"5f5d02f4da41c92daf558f0bd4cde12d",Tripsacum lanceolatum ,"Rupr. ex E. Fourn., 1886","Dávila, Mejía-Saulés, Soriano-Martínez & Herrera-Arrieta, 2018",especie,"","39866ANGIO","","",aceptado,Plantae,Tracheophyta,Equisetopsida,Poales,Poaceae,Panicoideae,Tripsacum,"",Tripsacum lanceolatum ,"","","",""
fee01786e8cef2eb60a77b4a023cf927,Tripsacum lanceolatum ,"Rupr. ex E. Fourn., 1886","Dávila, Mejía-Saulés, Soriano-Martínez & Herrera-Arrieta, 2018",especie,"","39866ANGIO","","",aceptado,Plantae,Tracheophyta,Equisetopsida,Poales,Poaceae,Panicoideae,Tripsacum,"",Tripsacum lanceolatum ,"","","",""
"8fa0a1d2b96e2a82fa7f93411ccfa33e",Tripsacum latifolium ,"Hitchc., 1906","Dávila, Mejía-Saulés, Soriano-Martínez & Herrera-Arrieta, 2018",especie,"","39912ANGIO","","",aceptado,Plantae,Tracheophyta,Equisetopsida,Poales,Poaceae,Panicoideae,Tripsacum,"",Tripsacum latifolium ,"","","",""
"1575b2ed8a96d2660bfd6cb92affc0db",Tripsacum maizar ,"Hern.-Xol. & Randolph, 1950","Dávila, Mejía-Saulés, Soriano-Martínez & Herrera-Arrieta, 2018",especie,"","40222ANGIO","","",aceptado,Plantae,Tracheophyta,Equisetopsida,Poales,Poaceae,Panicoideae,Tripsacum,"",Tripsacum maizar ,"","","",""
"4c59993fdaa888544346feab204821bb",Tripsacum maizar ,"Hern.-Xol. & Randolph, 1950","Dávila, Mejía-Saulés, Soriano-Martínez & Herrera-Arrieta, 2018",especie,"","40222ANGIO","","",aceptado,Plantae,Tracheophyta,Equisetopsida,Poales,Poaceae,Panicoideae,Tripsacum,"",Tripsacum maizar ,"","","",""
"871e3c6998810f39b6d19fd1a6634446",Tripsacum manisuroides ,"de Wet & J.R. Harlan, 1982","Dávila, Mejía-Saulés, Soriano-Martínez & Herrera-Arrieta, 2018",especie,"","40244ANGIO","","",aceptado,Plantae,Tracheophyta,Equisetopsida,Poales,Poaceae,Panicoideae,Tripsacum,"",Tripsacum manisuroides ,"","","",""
eddf4168cba3a6d7c3363140258f1ff7,Zea mays ,"L., 1753","Dávila, Mejía-Saulés, Soriano-Martínez & Herrera-Arrieta, 2018",especie,"","40309ANGIO","","",aceptado,Plantae,Tracheophyta,Equisetopsida,Poales,Poaceae,Panicoideae,Zea,"",Zea mays ,"","","",""
"9195c9d36e620f8b02f72a029457f698",Zea perennis ,"(Hitchc.) Reeves & Mangelsd., 1942","Dávila, Mejía-Saulés, Soriano-Martínez & Herrera-Arrieta, 2018",especie,"","41165ANGIO","","",aceptado,Plantae,Tracheophyta,Equisetopsida,Poales,Poaceae,Panicoideae,Zea,"",Zea perennis ,"","","",""
"70069f2f1820fb7d6ee53566a343b7a9",Tripsacum pilosum ,"Scribn. & Merr., 1901","Dávila, Mejía-Saulés, Soriano-Martínez & Herrera-Arrieta, 2018",especie,"","41256ANGIO","","",aceptado,Plantae,Tracheophyta,Equisetopsida,Poales,Poaceae,Panicoideae,Tripsacum,"",Tripsacum pilosum ,"","","",""
