organism_id,organism_scope,accepted_identification_id
db8aafd6-1ed3-11e3-bfac-90b11c41863e,lot,de3c9fac-1ed3-11e3-bfac-90b11c41863e
db8ab256-1ed3-11e3-bfac-90b11c41863e,lot,de3ca207-1ed3-11e3-bfac-90b11c41863e
db8ab4d5-1ed3-11e3-bfac-90b11c41863e,lot,de3ca3f6-1ed3-11e3-bfac-90b11c41863e
db8ab752-1ed3-11e3-bfac-90b11c41863e,lot,de3ca5d7-1ed3-11e3-bfac-90b11c41863e
db8ab9c8-1ed3-11e3-bfac-90b11c41863e,lot,de3ca7ac-1ed3-11e3-bfac-90b11c41863e
db8abc3e-1ed3-11e3-bfac-90b11c41863e,lot,de3ca98d-1ed3-11e3-bfac-90b11c41863e
db8abebe-1ed3-11e3-bfac-90b11c41863e,lot,de3cab67-1ed3-11e3-bfac-90b11c41863e
db8ac135-1ed3-11e3-bfac-90b11c41863e,lot,de3cad40-1ed3-11e3-bfac-90b11c41863e
db8ac3b2-1ed3-11e3-bfac-90b11c41863e,lot,de3caf17-1ed3-11e3-bfac-90b11c41863e
db8ac629-1ed3-11e3-bfac-90b11c41863e,lot,de3cb0f7-1ed3-11e3-bfac-90b11c41863e
db8ac89f-1ed3-11e3-bfac-90b11c41863e,lot,de3cb2d2-1ed3-11e3-bfac-90b11c41863e
db8acb20-1ed3-11e3-bfac-90b11c41863e,lot,de3cb4a9-1ed3-11e3-bfac-90b11c41863e
db8acd98-1ed3-11e3-bfac-90b11c41863e,lot,de3cb67b-1ed3-11e3-bfac-90b11c41863e
db8ad00f-1ed3-11e3-bfac-90b11c41863e,lot,de3cb851-1ed3-11e3-bfac-90b11c41863e
db8ad291-1ed3-11e3-bfac-90b11c41863e,lot,de3cba26-1ed3-11e3-bfac-90b11c41863e
db8ad519-1ed3-11e3-bfac-90b11c41863e,lot,de3cbbf9-1ed3-11e3-bfac-90b11c41863e
db8ad79b-1ed3-11e3-bfac-90b11c41863e,lot,de3cbdd1-1ed3-11e3-bfac-90b11c41863e
db8ada16-1ed3-11e3-bfac-90b11c41863e,lot,de3cbfb1-1ed3-11e3-bfac-90b11c41863e
db8adc96-1ed3-11e3-bfac-90b11c41863e,lot,de3cc184-1ed3-11e3-bfac-90b11c41863e
db8adf16-1ed3-11e3-bfac-90b11c41863e,lot,de3cc35d-1ed3-11e3-bfac-90b11c41863e
db8ae18e-1ed3-11e3-bfac-90b11c41863e,lot,de3cc53a-1ed3-11e3-bfac-90b11c41863e
db8ae400-1ed3-11e3-bfac-90b11c41863e,lot,de3cc723-1ed3-11e3-bfac-90b11c41863e
db8ae674-1ed3-11e3-bfac-90b11c41863e,lot,de3cc904-1ed3-11e3-bfac-90b11c41863e
db8ae8ee-1ed3-11e3-bfac-90b11c41863e,lot,de3ccad6-1ed3-11e3-bfac-90b11c41863e
db8aeb67-1ed3-11e3-bfac-90b11c41863e,lot,de3cccb2-1ed3-11e3-bfac-90b11c41863e
db8aedd8-1ed3-11e3-bfac-90b11c41863e,lot,de3cce93-1ed3-11e3-bfac-90b11c41863e
