1.collectionobject.guid,"1,23.collection.primaryPurpose","1,29-collectionobjectcitations,69.referencework.guid","1,29-collectionobjectcitations,69.referencework.referenceWorkType","1,29-collectionobjectcitations.collectionobjectcitation.pageNumber","1,29-collectionobjectcitations.collectionobjectcitation.remarks"
dc516111-1ed3-11e3-bfac-90b11c41863e,Organism,db876f1b-b573-4144-9487-5d96ef8a7a0e,2,,
dcd89697-1ed3-11e3-bfac-90b11c41863e,Organism,68664775-cf47-4c58-8149-49d70cf43163,2,,
dbdc1aea-1ed3-11e3-bfac-90b11c41863e,Organism,0b4e5878-7e44-48d5-aaed-0161a86958ef,2,,
dc5067ad-1ed3-11e3-bfac-90b11c41863e,Organism,2676c350-4381-4b47-8ddb-185388b8cb9c,2,,
dc949638-1ed3-11e3-bfac-90b11c41863e,Organism,1ebf2917-0161-4dfa-8f13-9745c0f6bc5a,2,,
dbdbe775-1ed3-11e3-bfac-90b11c41863e,Organism,0b4e5878-7e44-48d5-aaed-0161a86958ef,2,,
dbdae3bf-1ed3-11e3-bfac-90b11c41863e,Organism,903ac749-2f03-4eb9-8029-6ff9a7c2eb13,2,,
dcaa75fd-1ed3-11e3-bfac-90b11c41863e,Organism,db876f1b-b573-4144-9487-5d96ef8a7a0e,2,,
db8149ca-1ed3-11e3-bfac-90b11c41863e,Organism,b0c40e03-9789-4c7c-88a6-26c1cd721c3f,2,,
db49224b-1ed3-11e3-bfac-90b11c41863e,Organism,1ebf2917-0161-4dfa-8f13-9745c0f6bc5a,2,,
dbbce491-1ed3-11e3-bfac-90b11c41863e,Organism,903ac749-2f03-4eb9-8029-6ff9a7c2eb13,2,,
dc034c40-1ed3-11e3-bfac-90b11c41863e,Organism,db876f1b-b573-4144-9487-5d96ef8a7a0e,2,,
db48d8cf-1ed3-11e3-bfac-90b11c41863e,Organism,f73f8d92-d101-4bc6-aa75-a6173247a0af,2,,
dbd55717-1ed3-11e3-bfac-90b11c41863e,Organism,903ac749-2f03-4eb9-8029-6ff9a7c2eb13,2,,
db260ec8-1ed3-11e3-bfac-90b11c41863e,Organism,2676c350-4381-4b47-8ddb-185388b8cb9c,2,,
dcc19c37-1ed3-11e3-bfac-90b11c41863e,Organism,cc441480-1148-4646-ad72-3868b37a86e2,2,,
dca26a67-1ed3-11e3-bfac-90b11c41863e,Organism,8f9277c0-a9aa-47f6-b4c6-de4586dadd64,2,,
db4601f1-1ed3-11e3-bfac-90b11c41863e,Organism,e83b2f32-fb14-4a0e-a4f8-55cd57a94925,2,,
