taxon_id;scientific_name;scientific_name_authorship;name_according_to;name_according_to_id;taxon_rank;taxon_source;scientific_name_id;taxon_remarks;parent_taxon_id;taxonomic_status;kingdom;phylum;class;"""order""";family;subfamily;genus;subgenus;accepted_scientific_name
https://www.gbif.org/species/3713128;Allanblackia staneriana Exell & Mendonça;Exell & Mendonça;;;SPECIES;;;;;ACCEPTED;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Clusiaceae;;Allanblackia;;Allanblackia stanerana 
https://www.gbif.org/species/3713168;Allanblackia gabonensis (Pellegr.) Bamps;(Pellegr.) Bamps;;;SPECIES;;;;;ACCEPTED;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Clusiaceae;;Allanblackia;;Allanblackia gabonensis 
https://www.gbif.org/species/3713098;Garcinia preussii Engl.;Engl.;;;SPECIES;;;;;ACCEPTED;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Clusiaceae;;Garcinia;;Garcinia preussii 
https://www.gbif.org/species/2764470;Commelina cameroonensis J.K.Morton;J.K.Morton;;;SPECIES;;;;;ACCEPTED;Plantae;Tracheophyta;Liliopsida;Commelinales;Commelinaceae;;Commelina;;Commelina camerounensis 
https://www.gbif.org/species/2763820;Palisota satabiei Brenan;Brenan;;;SPECIES;;;;;ACCEPTED;Plantae;Tracheophyta;Liliopsida;Commelinales;Commelinaceae;;Palisota;;Palisota satabiei 
https://www.gbif.org/species/2763809;Palisota flagelliflora Faden;Faden;;;SPECIES;;;;;ACCEPTED;Plantae;Tracheophyta;Liliopsida;Commelinales;Commelinaceae;;Palisota;;Palisota flagelliflora 
https://www.gbif.org/species/2765005;Tricarpelema africanum Faden;Faden;;;SPECIES;;;;;ACCEPTED;Plantae;Tracheophyta;Liliopsida;Commelinales;Commelinaceae;;Tricarpelema;;Tricarpelema africanum 
https://www.gbif.org/species/3686540;Jollydora glandulosa Schellenb.;Schellenb.;;;SPECIES;;;;;ACCEPTED;Plantae;Tracheophyta;Magnoliopsida;Oxalidales;Connaraceae;;Jollydora;;Jollydora glandulosa 
https://www.gbif.org/species/3677224;Neuropeltis alnifolia Lejoly & Lisowski;Lejoly & Lisowski;;;SPECIES;;;;;ACCEPTED;Plantae;Tracheophyta;Magnoliopsida;Solanales;Convolvulaceae;;Neuropeltis;;Neuropeltis alnifolia 
https://www.gbif.org/species/3648991;Costus letestui Pellegr.;Pellegr.;;;SPECIES;;;;;SYNONYM;Plantae;Tracheophyta;Liliopsida;Zingiberales;Costaceae;;Costus;;Costus le-testui 
https://www.gbif.org/species/3644242;Ctenolophon englerianus Mildbr.;Mildbr.;;;SPECIES;;;;;ACCEPTED;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ctenolophonaceae;;Ctenolophon;;Ctenolophon engleriana 
https://www.gbif.org/species/4196051;Dichapetalum oliganthum Breteler;Breteler;;;SPECIES;;;;;ACCEPTED;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Dichapetalaceae;;Dichapetalum;;Dichapetalum oligantum 
https://www.gbif.org/species/4103847;Succisa trichotocephala Baksay;Baksay;;;SPECIES;;;;;ACCEPTED;Plantae;Tracheophyta;Magnoliopsida;Dipsacales;Caprifoliaceae;;Succisa;;Succisa trichotocephala 
https://www.gbif.org/species/4069811;Diospyros rubicunda Gürke;Gürke;;;SPECIES;;;;;ACCEPTED;Plantae;Tracheophyta;Magnoliopsida;Ericales;Ebenaceae;;Diospyros;;Diospyros rubicunda Gürke
https://www.gbif.org/species/8254445;Diospyros onanae Gosline;Gosline;;;SPECIES;;;;;ACCEPTED;Plantae;Tracheophyta;Magnoliopsida;Ericales;Ebenaceae;;Diospyros;;Diospyros onanae 
https://www.gbif.org/species/8048954;Diospyros korupensis Gosline;Gosline;;;SPECIES;;;;;ACCEPTED;Plantae;Tracheophyta;Magnoliopsida;Ericales;Ebenaceae;;Diospyros;;Diospyros korupensis 
https://www.gbif.org/species/3072431;Conceveiba leptostachys Breteler;Breteler;;;SPECIES;;;;;SYNONYM;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Euphorbiaceae;;Aubletiana;;Conceveiba leptostachys 
https://www.gbif.org/species/3074340;Macaranga occidentalis (Müll.Arg.) Müll.Arg.;(Müll.Arg.) Müll.Arg.;;;SPECIES;;;;;ACCEPTED;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Euphorbiaceae;;Macaranga;;Macaranga occidentalis 
